name,kind,gradient_noise,drift_per_step,amplitude,period,jump_interval,method,seed,dim,condition_number,tail_mse,tail_regret,tail_p90_error,phase_lag_steps,time_to_recovery
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1008,20,5.0,0.0032748518112852123,0.0036894863119351917,0.06959531946004467,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1008,20,5.0,0.0034210938962928737,0.004134134185452098,0.07131241845250866,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1008,20,5.0,0.0026735223799284323,0.003239003954565253,0.06335126142082814,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1009,20,5.0,0.000587032022157897,0.0007153375004717427,0.029617240337325827,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1009,20,5.0,0.005400250168222615,0.0064055724176955405,0.08921773255554116,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1009,20,5.0,0.0034353173610135205,0.0038455847753087603,0.0716670134631721,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1009,20,5.0,0.003905713141329434,0.004605564286691319,0.0746019592427238,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1009,20,5.0,0.0020437353265623298,0.0024779744452682662,0.05425114676468098,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1010,20,5.0,0.0006100092528761766,0.000696011605473241,0.031161175107918875,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1010,20,5.0,0.0053392763945341,0.006477901394415988,0.08923502268791433,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1010,20,5.0,0.0033065697981228773,0.003682169150627479,0.07200167428193921,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1010,20,5.0,0.003524592682105711,0.004286447113021057,0.0731306662071639,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1010,20,5.0,0.002134985136411306,0.002573936844335458,0.05955130366148001,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1011,20,5.0,0.0005292398847846866,0.0006739982569606249,0.02797165084798374,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1011,20,5.0,0.005178400923272735,0.006555577119143987,0.0861597805479937,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1011,20,5.0,0.0031547026548279056,0.0037876003232026768,0.06779663087132053,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1011,20,5.0,0.0033927536227219934,0.004361945494233433,0.06998134761759729,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1011,20,5.0,0.0021635099695072055,0.0028537858262219886,0.05689574918564044,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1012,20,5.0,0.0005531668886828052,0.0006816920156936315,0.02896474673760714,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1012,20,5.0,0.005036366569080364,0.006397221592531497,0.08488123930061585,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1012,20,5.0,0.0031169708914737192,0.0036461245750408046,0.06595107240577427,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1012,20,5.0,0.0032071419533440783,0.00419160973433483,0.06786534513687377,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1012,20,5.0,0.0021962599004462513,0.002927522818240539,0.057810432492023334,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1013,20,5.0,0.000565555748504904,0.000678848198071428,0.02920453026498899,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1013,20,5.0,0.005211685895764365,0.0064588981631575225,0.08547115163859147,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1013,20,5.0,0.003226429491559193,0.0036796266432336635,0.06924953875746524,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1013,20,5.0,0.003401313064529252,0.004209697513520842,0.06956102279764458,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1013,20,5.0,0.0027293361815900474,0.0034294820277575994,0.06249768777372381,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1014,20,5.0,0.0005838142193279423,0.0007045234613786696,0.02849848204072764,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1014,20,5.0,0.005843436895482125,0.0068915480758222,0.09246494940353876,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1014,20,5.0,0.0035451642168568853,0.003991541552353931,0.07176853887952854,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1014,20,5.0,0.003605195069567313,0.004303122157256237,0.07265004748143439,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1014,20,5.0,0.0026451643249621793,0.0032787965907587102,0.060385669568910484,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1015,20,5.0,0.0005404581217911468,0.000678301215269425,0.028014330081499596,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1015,20,5.0,0.005485060122116074,0.006793328787047605,0.08955138371519707,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Nesterov,1015,20,5.0,0.003214339129228859,0.003709697571083026,0.06726206638254145,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,Adam,1015,20,5.0,0.003139169095386618,0.003880743598464772,0.06696975411279113,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,AMSGrad,1015,20,5.0,0.0023152912692893154,0.0030835173540013487,0.0574015091281208,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,SGD,1016,20,5.0,0.0005784769463481628,0.0006891834488322487,0.028683614794374753,,
stationary_noisy,stationary,0.05,0.0,0.0,0,0,HeavyBall,1016,20,5.0,0.0056898227709474836,0.0066781134560182955,0.088664835589595,,
