name,kind,method,runs,tail_mse_mean,tail_mse_std,tail_mse_median,tail_mse_q25,tail_mse_q75,tail_mse_ci_low,tail_mse_ci_high,tail_regret_mean,tail_regret_std,tail_regret_median,tail_regret_q25,tail_regret_q75,tail_regret_ci_low,tail_regret_ci_high,tail_p90_error_mean,tail_p90_error_std,tail_p90_error_median,tail_p90_error_q25,tail_p90_error_q75,tail_p90_error_ci_low,tail_p90_error_ci_high,phase_lag_steps_mean,phase_lag_steps_std,phase_lag_steps_median,phase_lag_steps_q25,phase_lag_steps_q75,phase_lag_steps_ci_low,phase_lag_steps_ci_high,time_to_recovery_mean,time_to_recovery_std,time_to_recovery_median,time_to_recovery_q25,time_to_recovery_q75,time_to_recovery_ci_low,time_to_recovery_ci_high
cyclic_fast,cyclic,AMSGrad,30,0.9160215773102217,0.02295497182092072,0.9200901328022175,0.9074894392291696,0.9283889215777824,0.9080413186882024,0.9236443217689386,1.4331871043661908,0.05506280322542865,1.4478871812595013,1.407234510915419,1.479140971283547,1.4126484118604792,1.4524104699166591,1.2787151592685941,0.023895448172232516,1.2838264789638396,1.2683254141230837,1.2934572393414316,1.269910379125555,1.2870013244324015,12.666666666666666,0.7111590022187595,13.0,12.0,13.0,12.4,12.933333333333334,,,,,,,
cyclic_fast,cyclic,Adam,30,0.8999244584211568,0.0005965977605565422,0.9000102268997335,0.8994361348683085,0.9003364895041847,0.8997265807711455,0.9001359734684617,1.4613230359961258,0.0009890293038165656,1.4613471944867937,1.4605656072780175,1.4620570653195675,1.460976298726792,1.4616775496878662,1.291126557482488,0.0009436212024556049,1.2912644122917287,1.2904380119540604,1.2919165980845313,1.290789665271172,1.2914594330696407,16.0,0.0,16.0,16.0,16.0,16.0,16.0,,,,,,,
cyclic_fast,cyclic,HeavyBall,30,0.021985275588724738,0.00025197515566103114,0.021972546517289065,0.021880070046843864,0.022098919457439976,0.02189474014440707,0.022074422280292483,0.021181076729903343,0.00018840130762160068,0.021175465982843946,0.021112255810319492,0.021307111780857303,0.02111290954721052,0.02124508329332037,0.20412112981182612,0.001755637963450252,0.20424234504104688,0.20338377973256616,0.2048069449300902,0.2034886228570264,0.20472811848290975,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
cyclic_fast,cyclic,Nesterov,30,0.019868095217902424,0.00021231409056163056,0.019867028650871997,0.019751916164467743,0.019979048975850348,0.019791889631142038,0.01993873644580718,0.019289404750283404,0.00015940964325610187,0.01928064527300976,0.01923256125643151,0.019415725322895167,0.019231720713232963,0.019343841239423593,0.194127087803338,0.0014598040809394685,0.19414080683784612,0.19313786338190714,0.19496826603376113,0.19360104693250552,0.19465649084384942,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
cyclic_fast,cyclic,SGD,30,0.23327515427867457,0.00031930159338544557,0.2332518774551012,0.2331407222752396,0.23343706803328002,0.23315624039435054,0.2333908516655513,0.3032461029216757,0.0004200087607011938,0.3032465871076103,0.3029962387557362,0.3034957769939176,0.3030962481160619,0.3033880587624827,0.657847607663533,0.0007451499077482221,0.6578990080139883,0.6572521938979136,0.6583761180763059,0.65757997607831,0.6580924440543844,6.0,0.0,6.0,6.0,6.0,6.0,6.0,,,,,,,
cyclic_slow,cyclic,AMSGrad,30,0.0011166489648103634,0.00017820510958521557,0.001059210626617283,0.0010109544597741284,0.001215466682596573,0.0010576618519111132,0.0011791201640657055,0.0012362261280542718,0.00014885263120262979,0.0012087323814996714,0.001143806311439819,0.0012695733207441588,0.0011858912718886877,0.0012928012498366695,0.043196196817592285,0.004052038306758065,0.04226253379691618,0.0406783387544388,0.044951968307142424,0.04184855945036264,0.04466744289228275,2.033333333333333,0.31984191497474607,2.0,2.0,2.0,1.9333333333333333,2.1666666666666665,,,,,,,
cyclic_slow,cyclic,Adam,30,0.0012290856263935741,6.792573371590995e-05,0.0012308520289945665,0.0011810462427777487,0.0012754643757871599,0.0012059441119992476,0.0012530491905413793,0.0014915188821783636,7.759334273941703e-05,0.0015055176340608657,0.0014328191192718414,0.0015336079287763666,0.001463286666416833,0.0015188211000424965,0.042431513823289385,0.001435497727107154,0.04242917908916663,0.04139372631697964,0.04345337423345183,0.04193717098917959,0.042928082597980165,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
cyclic_slow,cyclic,HeavyBall,30,0.0009454123577976092,5.834702755865241e-05,0.0009415181163042966,0.0009014226246778224,0.0009912561283457954,0.0009254098175897708,0.0009674984784808108,0.0011342640358205885,5.4967301139165495e-05,0.0011358020722449735,0.0010872815990906198,0.0011657109775794496,0.0011135601821208355,0.0011537355761644158,0.03741333478406926,0.0013933143779742707,0.037276674536753464,0.03659896178809184,0.03829094701263489,0.03688721916137063,0.03793596718042703,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
cyclic_slow,cyclic,Nesterov,30,0.000617111043463917,3.601890730512429e-05,0.0006161192234192098,0.0005943389084160911,0.0006394692475107281,0.0006043066048256788,0.0006302231343038137,0.0006910272869100736,2.6838824593444473e-05,0.0006877549787528153,0.0006740561452128359,0.0007074218391958779,0.0006815998713889401,0.0007004878533896041,0.03069565234360603,0.0011663429235860676,0.03067482003852997,0.029970570222994312,0.03140276556230515,0.030299293293719803,0.031112065010283012,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
cyclic_slow,cyclic,SGD,30,0.009101293331550494,0.0001249994485842811,0.009106525030989247,0.009007321678752341,0.009196563823498026,0.009057487022500837,0.009143894385554279,0.009454634838004464,9.937655297698993e-05,0.009452703869886434,0.00937455120379477,0.009534118375688839,0.009420221467650803,0.009488942781439344,0.13211906082778047,0.0008939609614034315,0.13221004970845673,0.1315897878379292,0.13251367867531913,0.13180434350987702,0.13243450621849284,8.0,0.0,8.0,8.0,8.0,8.0,8.0,,,,,,,
jump_clean,jump,AMSGrad,30,0.06721962421975004,0.0,0.06721962421975004,0.06721962421975004,0.06721962421975004,0.06721962421975004,0.06721962421975004,0.09502170040759077,2.823006427041851e-17,0.0950217004075908,0.0950217004075908,0.0950217004075908,0.09502170040759077,0.09502170040759077,0.19262060147240706,5.646012854083702e-17,0.19262060147240712,0.19262060147240712,0.19262060147240712,0.19262060147240706,0.19262060147240706,,,,,,,,26.5,0.0,26.5,26.5,26.5,26.5,26.5
jump_clean,jump,Adam,30,0.06965047278235743,1.4115032135209254e-17,0.06965047278235742,0.06965047278235742,0.06965047278235742,0.06965047278235743,0.06965047278235743,0.09719813514787529,2.823006427041851e-17,0.09719813514787531,0.09719813514787531,0.09719813514787531,0.09719813514787529,0.09719813514787529,0.19589978461479973,5.646012854083702e-17,0.1958997846147998,0.1958997846147998,0.1958997846147998,0.19589978461479973,0.19589978461479973,,,,,,,,26.5,0.0,26.5,26.5,26.5,26.5,26.5
jump_clean,jump,HeavyBall,30,0.05342951476691282,0.0,0.05342951476691282,0.05342951476691282,0.05342951476691282,0.05342951476691282,0.05342951476691282,0.08232102075122238,0.0,0.08232102075122238,0.08232102075122238,0.08232102075122238,0.08232102075122238,0.08232102075122238,0.16032182228285854,2.823006427041851e-17,0.16032182228285857,0.16032182228285857,0.16032182228285857,0.16032182228285854,0.16032182228285854,,,,,,,,24.0,0.0,24.0,24.0,24.0,24.0,24.0
jump_clean,jump,Nesterov,30,0.02529576737286067,7.057516067604627e-18,0.025295767372860677,0.025295767372860677,0.025295767372860677,0.02529576737286067,0.02529576737286067,0.035952239698284004,7.057516067604627e-18,0.035952239698284,0.035952239698284,0.035952239698284,0.035952239698284004,0.035952239698284004,0.018631194940899484,0.0,0.018631194940899484,0.018631194940899484,0.018631194940899484,0.018631194940899484,0.018631194940899484,,,,,,,,11.0,0.0,11.0,11.0,11.0,11.0,11.0
jump_clean,jump,SGD,30,0.04166048263609939,1.4115032135209254e-17,0.0416604826360994,0.0416604826360994,0.0416604826360994,0.04166048263609939,0.04166048263609939,0.054259441038274646,7.057516067604627e-18,0.05425944103827465,0.05425944103827465,0.05425944103827465,0.054259441038274646,0.054259441038274646,0.06319001667107135,2.823006427041851e-17,0.06319001667107138,0.06319001667107138,0.06319001667107138,0.06319001667107135,0.06319001667107135,,,,,,,,14.0,0.0,14.0,14.0,14.0,14.0,14.0
jump_noisy,jump,AMSGrad,30,0.0014646900457976834,9.134186674089284e-05,0.0014847420239009813,0.0013969271348803298,0.001530159842976627,0.0014305409296467347,0.0014950217650617462,0.0018042153841681641,0.00010501729222455471,0.0018082603336080402,0.0017308861507078313,0.001867416048001583,0.0017679620349766354,0.0018399714835097953,0.04651520139060261,0.0019176885835122956,0.046694008249447715,0.04561075224164188,0.0478905090672484,0.045782102463497024,0.04718722864184949,,,,,,,,10.1,3.2941955221162926,8.0,8.0,13.75,8.999166666666667,11.3
jump_noisy,jump,Adam,30,0.001674072534941791,8.433453643513832e-05,0.0016798144922594226,0.0016245904358616848,0.0017312340140784308,0.0016446766822394857,0.00170384190734235,0.00207822378478516,9.184774236633673e-05,0.0020861157823140013,0.0019988276609252857,0.002140704929128642,0.002045308867426403,0.0021099638696422313,0.04964940594292713,0.0016619398117316741,0.04953850468766708,0.0485663511527195,0.05058636236469903,0.04906879570903333,0.05023070387504958,,,,,,,,15.166666666666666,1.0854312136382618,15.0,15.0,16.0,14.766666666666667,15.466666666666667
