case_id,dim,condition_number,path_kind,observation_noise,drift_per_query,amplitude,period,protocol,method,family,seed,query_budget,total_target_displacement,final_mse,query_averaged_mse,tail_mse,queries_to_threshold,mean_gradient_cosine,updates,queries_per_update,learning_rate,smoothing,directions,maximum_gradient_norm,failed,first_order_mse,mse_ratio_to_first_order
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1001,10000,0.0,6.638783021836088e-07,0.0025121759313921216,1.4644499999776142e-06,50.0,0.2826223514301049,5000.0,2.0,0.08000000000000002,0.3,1.0,14.244176370724631,0.0,0.002509887250700254,1.0009118659378937
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1002,10000,0.0,1.3295134980951203e-06,0.002513380484647895,1.5486897717220642e-06,50.0,0.27757713153885516,5000.0,2.0,0.08000000000000002,0.3,1.0,9.14233544430892,0.0,0.002509887250700254,1.0013917891915927
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1003,10000,0.0,1.9486457071832147e-06,0.0025484853326064104,1.3343051297282535e-06,50.0,0.28775130176276914,5000.0,2.0,0.08000000000000002,0.3,1.0,11.623757535899381,0.0,0.002509887250700254,1.0153784126738712
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1004,10000,0.0,1.424203576287134e-06,0.002535201619213016,1.1068416746018596e-06,50.0,0.27719552569245115,5000.0,2.0,0.08000000000000002,0.3,1.0,10.905487643873267,0.0,0.002509887250700254,1.0100858588391566
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1005,10000,0.0,2.3017257982735257e-06,0.0025206895861422615,1.3147717695191953e-06,50.0,0.2768650525181017,5000.0,2.0,0.08000000000000002,0.3,1.0,7.6043653108615645,0.0,0.002509887250700254,1.004303912631531
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1006,10000,0.0,1.1750798663556941e-06,0.0028881171997719784,1.056540851981386e-06,100.0,0.28241765400600505,5000.0,2.0,0.08000000000000002,0.3,1.0,9.514120357196319,0.0,0.002509887250700254,1.1506959920076882
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1007,10000,0.0,6.69834552782045e-07,0.0025116431255975237,1.195872922093399e-06,50.0,0.2806145677431244,5000.0,2.0,0.08000000000000002,0.3,1.0,12.24806398949828,0.0,0.002509887250700254,1.0006995831772043
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1008,10000,0.0,7.690970073974337e-07,0.0025328206792393487,1.0653281208251112e-06,50.0,0.28588340912247123,5000.0,2.0,0.08000000000000002,0.3,1.0,13.329110744551675,0.0,0.002509887250700254,1.009137234564101
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1009,10000,0.0,2.403241515628347e-06,0.002841941837327407,1.193654072471464e-06,100.0,0.2905035795723363,5000.0,2.0,0.08000000000000002,0.3,1.0,8.354022477924604,0.0,0.002509887250700254,1.132298606853559
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1010,10000,0.0,9.30640886439996e-07,0.0025209882880199317,1.2688949330898886e-06,50.0,0.27194034975835757,5000.0,2.0,0.08000000000000002,0.3,1.0,8.918811426778431,0.0,0.002509887250700254,1.004422922709608
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1011,10000,0.0,1.7157722218995512e-06,0.002514945522823024,1.0980554066352693e-06,50.0,0.280698392345592,5000.0,2.0,0.08000000000000002,0.3,1.0,12.252549526298347,0.0,0.002509887250700254,1.0020153383867576
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1012,10000,0.0,6.561661332904835e-06,0.002666298283809276,1.2824887386771457e-06,100.0,0.27643390108765337,5000.0,2.0,0.08000000000000002,0.3,1.0,8.535534977334931,0.0,0.002509887250700254,1.0623179519579549
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1013,10000,0.0,8.517925232709724e-07,0.0025955164472334733,1.1650112526170315e-06,100.0,0.2841893179031484,5000.0,2.0,0.08000000000000002,0.3,1.0,12.245161559691272,0.0,0.002509887250700254,1.0341167502680961
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1014,10000,0.0,1.083370920881459e-06,0.002566170713047341,1.3576822301311358e-06,100.0,0.27991549840081625,5000.0,2.0,0.08000000000000002,0.3,1.0,8.15920690066936,0.0,0.002509887250700254,1.0224246974964248
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1015,10000,0.0,1.5513376076850015e-06,0.0025889358504455405,1.3586340719206067e-06,100.0,0.2850378641249555,5000.0,2.0,0.08000000000000002,0.3,1.0,12.25643800791058,0.0,0.002509887250700254,1.031494880785275
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1016,10000,0.0,7.37008545554566e-07,0.0025075440232029747,1.3495931139671103e-06,50.0,0.27414498367856,5000.0,2.0,0.08000000000000002,0.3,1.0,9.904293367231245,0.0,0.002509887250700254,0.9990664012908844
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1017,10000,0.0,7.796704163231067e-07,0.0025317345032859467,1.4579392940454036e-06,50.0,0.27493037959119704,5000.0,2.0,0.08000000000000002,0.3,1.0,9.294643850619002,0.0,0.002509887250700254,1.0087044757008894
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1018,10000,0.0,8.694746863657494e-07,0.00250904347902103,1.257575450813183e-06,50.0,0.2858310796723497,5000.0,2.0,0.08000000000000002,0.3,1.0,9.762116095147539,0.0,0.002509887250700254,0.9996638208831936
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1019,10000,0.0,3.8321776116597615e-07,0.002534205478228167,1.1936749750539863e-06,50.0,0.2791216030407461,5000.0,2.0,0.08000000000000002,0.3,1.0,13.025069560926648,0.0,0.002509887250700254,1.0096889720927218
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1020,10000,0.0,2.531021507142841e-06,0.0025049285320984135,1.4892023554109885e-06,50.0,0.2843512487477373,5000.0,2.0,0.08000000000000002,0.3,1.0,12.253910828598743,0.0,0.002509887250700254,0.9980243261523174
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1021,10000,0.0,6.718050440084657e-07,0.002754971272290074,1.3295164348439856e-06,100.0,0.27181648823173765,5000.0,2.0,0.08000000000000002,0.3,1.0,10.951090483752191,0.0,0.002509887250700254,1.0976474228160813
stationary_d5,5,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1022,10000,0.0,3.4023339250288377e-07,0.002504151210430134,1.3611274110836528e-06,50.0,0.2833147104630518,5000.0,2.0,0.08000000000000002,0.3,1.0,9.247920318413632,0.0,0.002509887250700254,0.9977146223327283
