path_kind,dim,method,runs,final_mse_mean,final_mse_std,final_mse_median,final_mse_q25,final_mse_q75,final_mse_ci_low,final_mse_ci_high,query_averaged_mse_mean,query_averaged_mse_std,query_averaged_mse_median,query_averaged_mse_q25,query_averaged_mse_q75,query_averaged_mse_ci_low,query_averaged_mse_ci_high,tail_mse_mean,tail_mse_std,tail_mse_median,tail_mse_q25,tail_mse_q75,tail_mse_ci_low,tail_mse_ci_high,queries_to_threshold_mean,queries_to_threshold_std,queries_to_threshold_median,queries_to_threshold_q25,queries_to_threshold_q75,queries_to_threshold_ci_low,queries_to_threshold_ci_high,mean_gradient_cosine_mean,mean_gradient_cosine_std,mean_gradient_cosine_median,mean_gradient_cosine_q25,mean_gradient_cosine_q75,mean_gradient_cosine_ci_low,mean_gradient_cosine_ci_high,updates_mean,updates_std,updates_median,updates_q25,updates_q75,updates_ci_low,updates_ci_high,maximum_gradient_norm_mean,maximum_gradient_norm_std,maximum_gradient_norm_median,maximum_gradient_norm_q25,maximum_gradient_norm_q75,maximum_gradient_norm_ci_low,maximum_gradient_norm_ci_high,failed_mean,failed_std,failed_median,failed_q25,failed_q75,failed_ci_low,failed_ci_high
linear,5,CoordinateCentral,30,0.00019157144103203937,2.369065498609524e-05,0.0001912218717509972,0.00017900314683745122,0.00021200009919016823,0.00018325802573768415,0.00019969482360594962,0.005444760562743599,1.215063580387379e-05,0.005442673073103033,0.005436300847317475,0.005452104929448449,0.005440462043243042,0.0054490039781850364,0.0001945912989706495,1.0600269594702086e-05,0.00019482249293397097,0.00018856366464182553,0.00020235139814078022,0.00019087737720546735,0.0001982695748420105,350.0,0.0,350.0,350.0,350.0,350.0,350.0,0.87079095919468,0.00268924745630975,0.870026643906213,0.869226587678113,0.8729578662845661,0.8698342819247139,0.8717549724385285,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,3.2758482067512813,0.007643324641722655,3.276035093417486,3.2724096399668063,3.2809186510442068,3.2731635225178937,3.2785686163129513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,5,FirstOrderReference,30,1.935797614159249e-06,4.30756595923134e-22,1.9357976141592487e-06,1.9357976141592487e-06,1.9357976141592487e-06,1.935797614159249e-06,1.935797614159249e-06,0.002512248119184051,8.821895084505784e-19,0.002512248119184052,0.002512248119184052,0.002512248119184052,0.002512248119184051,0.002512248119184051,1.9357976141594618e-06,4.30756595923134e-22,1.935797614159462e-06,1.935797614159462e-06,1.935797614159462e-06,1.9357976141594618e-06,1.9357976141594618e-06,50.0,0.0,50.0,50.0,50.0,50.0,50.0,0.9993271045030949,0.0,0.9993271045030949,0.9993271045030949,0.9993271045030949,0.9993271045030949,0.9993271045030949,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,3.2733657862972754,4.516810283266961e-16,3.273365786297275,3.273365786297275,3.273365786297275,3.2733657862972754,3.2733657862972754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,5,Gaussian-m1,30,9.506009686899639e-06,7.828160107372303e-06,6.170678634281735e-06,3.32448678166717e-06,1.4938366520483927e-05,6.867212005645364e-06,1.240247307266002e-05,0.0025866644726732987,9.526019731957576e-05,0.0025526372513161788,0.0025244469426153426,0.0025911341031983888,0.002556445264644526,0.0026237894080274587,8.99274977270454e-06,1.142874339565283e-06,8.85409310030281e-06,8.553538076154272e-06,9.574396998564751e-06,8.583756075661117e-06,9.400832456684094e-06,71.66666666666667,25.200346649686544,50.0,50.0,100.0,63.333333333333336,80.0,0.2953822338852793,0.0036045306278885904,0.2958467004908498,0.2925787172685582,0.2981132908865349,0.2940631856321299,0.29662460492935466,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,10.401724947909305,1.843911437659301,10.091903311079534,9.289204491592747,11.67264902007663,9.75115629285005,11.087839658907575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,5,Gaussian-m20,30,0.00013614215771502145,4.1566173789395345e-05,0.00012740492467626363,0.00011193619468528908,0.00015092533933715234,0.00012219624626761292,0.0001511136706218011,0.005368288696787031,0.0011573700953433836,0.005342063368773642,0.004399203310491992,0.006252107763928422,0.004974854468119481,0.005800761391853471,0.00017291338988097564,1.310421280566238e-05,0.00017073807656661102,0.0001641504067722579,0.00018024707584816306,0.00016848470684309867,0.00017732826854512828,283.3333333333333,80.22955570857539,275.0,200.0,350.0,255.0,311.70833333333314,0.8729473799769791,0.004272958174994888,0.8725383905742389,0.8700516189206333,0.8755950336980549,0.8714663781965565,0.8743978979049283,250.0,0.0,250.0,250.0,250.0,250.0,250.0,3.5541728436183737,0.88125745987646,3.3071217953677525,3.130584583197177,3.9023638289161457,3.263744062196897,3.885656277621259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,5,Gaussian-m5,30,1.1984057780127367e-05,6.937645880592518e-06,1.1225880404195217e-05,7.17838368759019e-06,1.3348719267946518e-05,9.615374474128329e-06,1.4395476642687854e-05,0.002845466174927152,0.0005646965270777258,0.0027064652999372984,0.0025976061403522903,0.0028712065364579877,0.0026979533019408624,0.0030806350558947536,1.2611344988230618e-05,1.6078225089550712e-06,1.2463960918449555e-05,1.1666866237019253e-05,1.3479078418846753e-05,1.2067366151383742e-05,1.3183384802212725e-05,98.33333333333333,27.802670838376777,100.0,100.0,100.0,88.33333333333333,108.33333333333333,0.6450311160585238,0.004728165998643965,0.6448917718302107,0.6425474034659446,0.6487176380370994,0.6433872642847137,0.6467262825122752,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,4.7780610650955095,1.7482111491401944,4.430777946134741,3.2845551597073426,5.875873438114208,4.165034266698886,5.400056390819841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,5,SPSA-m1,30,4.264819258546266e-06,2.840458334303496e-06,4.084622378656366e-06,2.442752839141628e-06,5.171657798815339e-06,3.320204780734873e-06,5.3424802863930995e-06,0.0025891930326431205,0.00013547277987469272,0.0025352895382318875,0.0025155871377841796,0.0025812796698596605,0.002548578810070076,0.0026369613416118358,4.20458907598758e-06,5.106732167512757e-07,4.2377356378607164e-06,3.882508473905422e-06,4.398195111204938e-06,4.019326610160626e-06,4.385542957342129e-06,70.0,24.91364395612199,50.0,50.0,100.0,61.666666666666664,78.33333333333333,0.32486144166034736,0.004819177508052069,0.3245071268270138,0.3230199822709897,0.32778235549921475,0.3231396624912407,0.32658068441596716,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,10.106415653363866,1.6145814441319501,10.013474116137235,9.161442128517185,11.506917891173893,9.546621305091636,10.68613797377481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,10,CoordinateCentral,30,0.0006194797696355716,5.179389408582165e-05,0.0006138412711486665,0.0005789886578135376,0.0006604244408431694,0.0006011208996186952,0.0006375936847278078,0.010505426517625639,2.339966273869304e-05,0.01050510703814532,0.010487795441664892,0.010521850515049997,0.01049694177767363,0.010513605789424812,0.0006274042007387983,2.3328308611926024e-05,0.0006296844398316927,0.0006122383496842902,0.0006371922743110406,0.000619540582844659,0.0006355449454744118,570.0,24.91364395612199,550.0,550.0,600.0,561.6666666666666,578.3333333333334,0.9235463981218003,0.001332296010381888,0.9235247048684254,0.9227617612683108,0.9244542438580927,0.92308432435758,0.9240016461074856,500.0,0.0,500.0,500.0,500.0,500.0,500.0,3.3846044410232574,0.006746750098451898,3.383851656995467,3.3811168904110014,3.38996819883093,3.382162019038097,3.3870119704890143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,10,FirstOrderReference,30,1.5065012055555218e-06,2.15378297961567e-22,1.5065012055555216e-06,1.5065012055555216e-06,1.5065012055555216e-06,1.5065012055555218e-06,1.5065012055555218e-06,0.0025070889398571636,8.821895084505784e-19,0.0025070889398571628,0.0025070889398571628,0.0025070889398571628,0.0025070889398571636,0.0025070889398571636,1.5065012055554265e-06,2.15378297961567e-22,1.5065012055554263e-06,1.5065012055554263e-06,1.5065012055554263e-06,1.5065012055554265e-06,1.5065012055554265e-06,50.0,0.0,50.0,50.0,50.0,50.0,50.0,0.99909853114599,2.2584051416334807e-16,0.9990985311459902,0.9990985311459902,0.9990985311459902,0.99909853114599,0.99909853114599,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,3.382340412218412,0.0,3.382340412218412,3.382340412218412,3.382340412218412,3.382340412218412,3.382340412218412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,10,Gaussian-m1,30,2.171958315067136e-05,1.2654338285268581e-05,2.0075208555850463e-05,1.4173517966137852e-05,2.5682680047518097e-05,1.7471141954035755e-05,2.644020920002703e-05,0.0032040127015420137,0.000460769476258338,0.0030830158152637824,0.0028925611556057857,0.003417726710961277,0.0030531063938524883,0.003363132569214934,2.266172997545661e-05,2.550255496602574e-06,2.2270039677909787e-05,2.088327969906308e-05,2.4843760651557623e-05,2.1762364922601217e-05,2.3537109203042823e-05,130.0,28.1620923987523,150.0,100.0,150.0,120.0,140.0,0.21761143124068477,0.0022747133646685426,0.21721635816165502,0.21621050470268605,0.21892715748340733,0.21683646761002362,0.21839167149741837,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,16.570636575457243,2.4303164287548875,16.378790168682265,14.501163779292913,18.887311540615727,15.728469604547712,17.38883451098378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,10,Gaussian-m20,30,0.00012484736890983213,3.595758715232578e-05,0.00011953504490796077,9.634719410849446e-05,0.0001488827548445316,0.00011233746742216727,0.00013734629595895984,0.006020817586362316,0.0018787827979766015,0.005605553307112345,0.004920768683985841,0.006774376141461703,0.005400247857878649,0.006685382227137031,0.00015481004684423627,2.3194478752462728e-05,0.00015027849140632595,0.0001355323167184627,0.00017035451930257154,0.00014711842368398014,0.0001635976115718187,260.0,57.834484403398086,250.0,200.0,300.0,240.0,280.0,0.7212511019966301,0.0076423114397667115,0.7204022427127734,0.7156188386512534,0.7253041978589607,0.7185536966409461,0.7240302959449646,250.0,0.0,250.0,250.0,250.0,250.0,250.0,3.9044935876911158,0.6542532659675484,3.962045931786153,3.478771830519017,4.3568730596834575,3.6603075020193008,4.1348202733136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
