path_kind,dim,method,metric,queries,mean,std,ci_low,ci_high,runs
linear,10,CoordinateCentral,squared_error,0.0,1.0,0.0,1.0,1.0,30
linear,10,CoordinateCentral,squared_error,50.0,0.5996644842731491,0.0005478593646645243,0.5994684353173358,0.5998605332289624,30
linear,10,CoordinateCentral,squared_error,100.0,0.30443466307044126,0.000641391100819541,0.3042051442126947,0.30466418192818784,30
linear,10,CoordinateCentral,squared_error,150.0,0.2041383657387328,0.0005891250921199823,0.20392755003199714,0.2043491814454685,30
linear,10,CoordinateCentral,squared_error,200.0,0.11832083711560577,0.00043658508546308834,0.11816460714921452,0.11847706708199703,30
linear,10,CoordinateCentral,squared_error,250.0,0.0847786537747284,0.0003758119630753453,0.08464417119088471,0.08491313635857209,30
linear,10,CoordinateCentral,squared_error,300.0,0.05300677353907441,0.00030568713776608073,0.052897384801690546,0.053116162276458274,30
linear,10,CoordinateCentral,squared_error,350.0,0.03938679745587425,0.00034846834456140686,0.039262099660250974,0.039511495251497525,30
linear,10,CoordinateCentral,squared_error,400.0,0.02566542427059026,0.0003600772025709131,0.02553657229847985,0.025794276242700673,30
linear,10,CoordinateCentral,squared_error,450.0,0.019450598861798906,0.0002821518442586079,0.019349632121034053,0.01955156560256376,30
linear,10,CoordinateCentral,squared_error,500.0,0.013016824980197505,0.00024153384426663796,0.012930393204059063,0.013103256756335946,30
linear,10,CoordinateCentral,squared_error,550.0,0.009947045991493588,0.00021542100840973247,0.009869958573658128,0.010024133409329049,30
linear,10,CoordinateCentral,squared_error,600.0,0.006719635807604207,0.00018847570071128212,0.006652190644294381,0.006787080970914033,30
linear,10,CoordinateCentral,squared_error,650.0,0.005174997462966706,0.00015535953015341158,0.005119402769096934,0.005230592156836479,30
linear,10,CoordinateCentral,squared_error,700.0,0.0035108412583527305,0.00011677859088652742,0.003469052576290748,0.003552629940414713,30
linear,10,CoordinateCentral,squared_error,750.0,0.002695958786546687,8.874989442627317e-05,0.0026642000446997524,0.002727717528393622,30
linear,10,CoordinateCentral,squared_error,800.0,0.0018287338011656199,6.607571016529214e-05,0.0018050889119512934,0.0018523786903799464,30
linear,10,CoordinateCentral,squared_error,850.0,0.0013973562709891914,5.4176205666377596e-05,0.0013779695647724954,0.0014167429772058873,30
linear,10,CoordinateCentral,squared_error,900.0,0.0009378605098244302,4.814262905742761e-05,0.0009206328912683571,0.0009550881283805033,30
linear,10,CoordinateCentral,squared_error,950.0,0.0007300405648456105,4.535907392551295e-05,0.0007138090287009326,0.0007462721009902885,30
linear,10,CoordinateCentral,squared_error,1000.0,0.0005013193346101667,3.6767220373680285e-05,0.0004881623537728869,0.0005144763154474464,30
linear,10,CoordinateCentral,squared_error,1050.0,0.0004137755260353582,4.1510217255941435e-05,0.00039892128556145225,0.00042862976650926413,30
linear,10,CoordinateCentral,squared_error,1100.0,0.0002983086015630784,2.8661808276480355e-05,0.0002880521051942262,0.00030856509793193053,30
linear,10,CoordinateCentral,squared_error,1150.0,0.0002789156464426918,2.255227295948235e-05,0.0002708454192090493,0.00028698587367633437,30
linear,10,CoordinateCentral,squared_error,1200.0,0.00022358734521698797,1.6354336036656014e-05,0.00021773502122692784,0.0002294396692070481,30
linear,10,CoordinateCentral,squared_error,1250.0,0.00023505667778299952,1.5681350405810326e-05,0.00022944517860805486,0.00024066817695794418,30
linear,10,CoordinateCentral,squared_error,1300.0,0.00020941664401527294,1.6748121967432603e-05,0.00020342340553963133,0.00021540988249091456,30
linear,10,CoordinateCentral,squared_error,1350.0,0.00024410218046043943,2.058878414739202e-05,0.0002367345786744736,0.0002514697822464053,30
linear,10,CoordinateCentral,squared_error,1400.0,0.00023239259374074726,2.1342659927998546e-05,0.00022475522097132602,0.0002400299665101685,30
linear,10,CoordinateCentral,squared_error,1450.0,0.00027873271983254927,2.3394793531909246e-05,0.0002703610004840889,0.00028710443918100964,30
linear,10,CoordinateCentral,squared_error,1500.0,0.0002717809854093646,2.626125239494187e-05,0.0002623835169303344,0.00028117845388839484,30
linear,10,CoordinateCentral,squared_error,1550.0,0.00032788280017333654,3.0141045717708988e-05,0.00031709696548436585,0.00033866863486230723,30
linear,10,CoordinateCentral,squared_error,1600.0,0.00031660709910701323,2.9643949537919024e-05,0.000305999148001444,0.00032721505021258247,30
linear,10,CoordinateCentral,squared_error,1650.0,0.00036622732461345027,3.13010972175628e-05,0.000355026370826579,0.00037742827840032153,30
linear,10,CoordinateCentral,squared_error,1700.0,0.0003535779124212643,2.5685204405195917e-05,0.0003443865800679845,0.0003627692447745441,30
linear,10,CoordinateCentral,squared_error,1750.0,0.0004073402170038796,2.9341092020980112e-05,0.0003968406420688855,0.0004178397919388737,30
linear,10,CoordinateCentral,squared_error,1800.0,0.00038731716763357654,2.8623747279216974e-05,0.00037707429121767576,0.0003975600440494773,30
linear,10,CoordinateCentral,squared_error,1850.0,0.000439398967502725,2.763422266640131e-05,0.0004295101879218994,0.00044928774708355055,30
linear,10,CoordinateCentral,squared_error,1900.0,0.0004294120970354965,3.190232771842049e-05,0.0004179959956770064,0.0004408281983939866,30
linear,10,CoordinateCentral,squared_error,1950.0,0.00047766608944355897,3.2876860228648244e-05,0.00046590125610500456,0.0004894309227821133,30
linear,10,CoordinateCentral,squared_error,2000.0,0.0004578822402208201,3.855469742596454e-05,0.0004440856189352018,0.00047167886150643835,30
linear,10,CoordinateCentral,squared_error,2050.0,0.000508412770752991,3.819588296895883e-05,0.000494744549571786,0.0005220809919341961,30
linear,10,CoordinateCentral,squared_error,2100.0,0.0004818134385977626,4.2622599683888165e-05,0.0004665611371842622,0.000497065740011263,30
linear,10,CoordinateCentral,squared_error,2150.0,0.0005318763991313177,4.071408740955138e-05,0.000517307050064118,0.0005464457481985173,30
linear,10,CoordinateCentral,squared_error,2200.0,0.0005053465223050695,4.28214478336085e-05,0.0004900230639950507,0.0005206699806150882,30
linear,10,CoordinateCentral,squared_error,2250.0,0.0005538785180361206,4.230171892325364e-05,0.0005387410423281213,0.0005690159937441198,30
linear,10,CoordinateCentral,squared_error,2300.0,0.0005242102081845011,4.3451994933749924e-05,0.000508661111492542,0.0005397593048764602,30
linear,10,CoordinateCentral,squared_error,2350.0,0.0005708034759199851,4.2553210258995237e-05,0.0005555760051932853,0.000586030946646685,30
linear,10,CoordinateCentral,squared_error,2400.0,0.0005412818029014685,5.036345473879975e-05,0.0005232594720817055,0.0005593041337212315,30
linear,10,CoordinateCentral,squared_error,2450.0,0.0005844125970893478,4.551261697361003e-05,0.0005681261162705559,0.0006006990779081397,30
linear,10,CoordinateCentral,squared_error,2500.0,0.0005510739998726914,4.2629115191258334e-05,0.0005358193669148223,0.0005663286328305605,30
linear,10,CoordinateCentral,squared_error,2550.0,0.0005935825304299632,3.924604639486195e-05,0.0005795385130931012,0.0006076265477668253,30
linear,10,CoordinateCentral,squared_error,2600.0,0.0005466813717661447,3.310159122704733e-05,0.0005348361194726236,0.0005585266240596658,30
linear,10,CoordinateCentral,squared_error,2650.0,0.0005944768163500692,3.611871826526572e-05,0.0005815518990119234,0.0006074017336882149,30
linear,10,CoordinateCentral,squared_error,2700.0,0.0005558070706043229,4.354477859043613e-05,0.0005402247717072303,0.0005713893695014155,30
linear,10,CoordinateCentral,squared_error,2750.0,0.000605989710406198,5.0048485003927955e-05,0.0005880800900585325,0.0006238993307538635,30
linear,10,CoordinateCentral,squared_error,2800.0,0.0005813467223597852,4.1229459616334244e-05,0.0005665929497169171,0.0005961004950026534,30
linear,10,CoordinateCentral,squared_error,2850.0,0.0006278221160745047,4.1089100389307916e-05,0.0006131185703359701,0.0006425256618130393,30
linear,10,CoordinateCentral,squared_error,2900.0,0.0005930827401211774,4.3098638345533035e-05,0.0005776600904603685,0.0006085053897819864,30
linear,10,CoordinateCentral,squared_error,2950.0,0.0006357803318039171,4.567248156078565e-05,0.0006194366441773042,0.00065212401943053,30
linear,10,CoordinateCentral,squared_error,3000.0,0.0005923003106339527,4.485549746654854e-05,0.000576248977010797,0.0006083516442571084,30
linear,10,CoordinateCentral,squared_error,3050.0,0.0006342225240986265,4.336097054363868e-05,0.0006187060000663421,0.0006497390481309109,30
linear,10,CoordinateCentral,squared_error,3100.0,0.0005998057121060642,4.039679728183849e-05,0.0005853499038528764,0.0006142615203592521,30
