path_kind,method,metric,estimated_log_log_slope,log_intercept,points
linear,CoordinateCentral,query_averaged_mse,1.0801384148284359,-6.990671706656423,6
linear,CoordinateCentral,tail_mse,1.823369689765429,-11.424872325655802,6
linear,FirstOrderReference,query_averaged_mse,-0.0005343089288546496,-5.985835933193398,6
linear,FirstOrderReference,tail_mse,-0.1229003103204096,-12.962866251186314,6
linear,Gaussian-m1,query_averaged_mse,0.846725256072527,-7.562457749300446,6
linear,Gaussian-m1,tail_mse,1.6669989385810113,-14.45707354080171,6
linear,Gaussian-m20,query_averaged_mse,0.6995635747449325,-6.60328145842341,6
linear,Gaussian-m20,tail_mse,1.1697194098069068,-11.284184298737623,6
linear,Gaussian-m5,query_averaged_mse,0.8171641632899904,-7.335886492320377,6
linear,Gaussian-m5,tail_mse,1.55256056906372,-13.841457263616668,6
linear,SPSA-m1,query_averaged_mse,0.8416412117872137,-7.528968013250292,6
linear,SPSA-m1,tail_mse,1.8719791257527887,-15.47379690694687,6
stationary,CoordinateCentral,query_averaged_mse,1.0026973559529961,-6.865731102394521,6
stationary,CoordinateCentral,tail_mse,2.4982669510456605,-18.04823977465569,6
stationary,FirstOrderReference,query_averaged_mse,-0.0004497283662413815,-5.986715858446229,6
stationary,FirstOrderReference,tail_mse,-0.9886731113208584,-657.0708039437176,6
stationary,Gaussian-m1,query_averaged_mse,0.8303557047005482,-7.5149851917079165,6
stationary,Gaussian-m1,tail_mse,0.9701417824550317,-13.551083945467315,6
stationary,Gaussian-m20,query_averaged_mse,0.6719774758716918,-6.558041233643583,6
stationary,Gaussian-m20,tail_mse,0.6335475753387876,-13.06875654459514,6
stationary,Gaussian-m5,query_averaged_mse,0.8045360379786576,-7.336461495011528,6
stationary,Gaussian-m5,tail_mse,1.2514243437127268,-14.74438247408349,6
stationary,SPSA-m1,query_averaged_mse,0.8302672396562065,-7.529217990863894,6
stationary,SPSA-m1,tail_mse,-0.13467588857731422,-12.825977903581634,6
