dim,method,family,directions,learning_rate,smoothing,dimension_constant,tuning_score,failure_rate,selected
100,Gaussian-m1,gaussian,1,0.001,0.03,0.1,0.2200240233754264,0.0,False
100,Gaussian-m1,gaussian,1,0.001,0.1,0.1,0.2184075979790971,0.0,False
100,Gaussian-m1,gaussian,1,0.001,0.3,0.1,0.21811624731000417,0.0,False
100,Gaussian-m1,gaussian,1,0.002,0.03,0.2,0.13766567658748846,0.0,False
100,Gaussian-m1,gaussian,1,0.002,0.1,0.2,0.13439371202219957,0.0,False
100,Gaussian-m1,gaussian,1,0.002,0.3,0.2,0.13392987469470033,0.0,False
100,Gaussian-m1,gaussian,1,0.004,0.03,0.4,0.12766603465654605,0.0,False
100,Gaussian-m1,gaussian,1,0.004,0.1,0.4,0.11937603484130568,0.0,False
100,Gaussian-m1,gaussian,1,0.004,0.3,0.4,0.11873334256902077,0.0,True
100,Gaussian-m5,gaussian,5,0.0025000000000000005,0.03,0.05,0.36438663982563757,0.0,False
100,Gaussian-m5,gaussian,5,0.0025000000000000005,0.1,0.05,0.36397177219255944,0.0,False
100,Gaussian-m5,gaussian,5,0.0025000000000000005,0.3,0.05,0.36391582271929224,0.0,False
100,Gaussian-m5,gaussian,5,0.005000000000000001,0.03,0.1,0.22399459868428884,0.0,False
100,Gaussian-m5,gaussian,5,0.005000000000000001,0.1,0.1,0.22293832445921816,0.0,False
100,Gaussian-m5,gaussian,5,0.005000000000000001,0.3,0.1,0.22281359410954588,0.0,False
100,Gaussian-m5,gaussian,5,0.010000000000000002,0.03,0.2,0.14395961932850349,0.0,False
100,Gaussian-m5,gaussian,5,0.010000000000000002,0.1,0.2,0.1411000622545026,0.0,False
100,Gaussian-m5,gaussian,5,0.010000000000000002,0.3,0.2,0.14078968547901188,0.0,False
100,Gaussian-m5,gaussian,5,0.020000000000000004,0.03,0.4,0.13993527496907737,0.0,False
100,Gaussian-m5,gaussian,5,0.020000000000000004,0.1,0.4,0.1298000749172698,0.0,False
100,Gaussian-m5,gaussian,5,0.020000000000000004,0.3,0.4,0.1288632637924984,0.0,True
100,Gaussian-m20,gaussian,20,0.010000000000000002,0.03,0.05,0.37247633390928314,0.0,False
100,Gaussian-m20,gaussian,20,0.010000000000000002,0.1,0.05,0.37077850044343497,0.0,False
100,Gaussian-m20,gaussian,20,0.010000000000000002,0.3,0.05,0.3703566570839524,0.0,False
100,Gaussian-m20,gaussian,20,0.020000000000000004,0.03,0.1,0.22953001018388122,0.0,False
100,Gaussian-m20,gaussian,20,0.020000000000000004,0.1,0.1,0.22735409422919273,0.0,False
100,Gaussian-m20,gaussian,20,0.020000000000000004,0.3,0.1,0.22690957607697984,0.0,False
100,Gaussian-m20,gaussian,20,0.04000000000000001,0.03,0.2,0.1551895343301338,0.0,False
100,Gaussian-m20,gaussian,20,0.04000000000000001,0.1,0.2,0.15141515111847675,0.0,False
100,Gaussian-m20,gaussian,20,0.04000000000000001,0.3,0.2,0.15085808415595423,0.0,True
100,Gaussian-m20,gaussian,20,0.08000000000000002,0.03,0.4,0.2012615991079228,0.0,False
100,Gaussian-m20,gaussian,20,0.08000000000000002,0.1,0.4,0.18610284059554144,0.0,False
100,Gaussian-m20,gaussian,20,0.08000000000000002,0.3,0.4,0.1843066581695427,0.0,False
100,CoordinateCentral,coordinate,1,0.04,0.1,,0.4191137843056497,0.0,True
200,FirstOrderReference,first_order,1,0.04,0.0,,0.01252417413420514,0.0,True
200,SPSA-m1,spsa,1,0.00025,0.03,0.05,0.5748468131785791,0.0,False
200,SPSA-m1,spsa,1,0.00025,0.1,0.05,0.5747977202451122,0.0,False
200,SPSA-m1,spsa,1,0.00025,0.3,0.05,0.5747841213568349,0.0,False
200,SPSA-m1,spsa,1,0.0005,0.03,0.1,0.41106951910186806,0.0,False
200,SPSA-m1,spsa,1,0.0005,0.1,0.1,0.4109978867559533,0.0,False
200,SPSA-m1,spsa,1,0.0005,0.3,0.1,0.41097877666891663,0.0,False
200,SPSA-m1,spsa,1,0.001,0.03,0.2,0.2859754615482094,0.0,False
200,SPSA-m1,spsa,1,0.001,0.1,0.2,0.2858850516322499,0.0,False
200,SPSA-m1,spsa,1,0.001,0.3,0.2,0.2858633913340608,0.0,False
200,SPSA-m1,spsa,1,0.002,0.03,0.4,0.25280435083314584,0.0,False
200,SPSA-m1,spsa,1,0.002,0.1,0.4,0.2527077212102905,0.0,False
200,SPSA-m1,spsa,1,0.002,0.3,0.4,0.2526955874937853,0.0,True
200,Gaussian-m1,gaussian,1,0.00025,0.03,0.05,0.5664080296005698,0.0,False
200,Gaussian-m1,gaussian,1,0.00025,0.1,0.05,0.5659363035616144,0.0,False
200,Gaussian-m1,gaussian,1,0.00025,0.3,0.05,0.5658826161911152,0.0,False
200,Gaussian-m1,gaussian,1,0.0005,0.03,0.1,0.4041851349981355,0.0,False
200,Gaussian-m1,gaussian,1,0.0005,0.1,0.1,0.40294319089287545,0.0,False
200,Gaussian-m1,gaussian,1,0.0005,0.3,0.1,0.40284113440629554,0.0,False
