path_kind,dim,method,runs,mse_ratio_to_first_order_mean,mse_ratio_to_first_order_std,mse_ratio_to_first_order_median,mse_ratio_to_first_order_q25,mse_ratio_to_first_order_q75,mse_ratio_to_first_order_ci_low,mse_ratio_to_first_order_ci_high
linear,5,CoordinateCentral,30,2.167286153452068,0.0048365588219925456,2.166455228502966,2.163918764951895,2.1702095775552723,2.1656466409472026,2.1689608905527553
linear,5,Gaussian-m1,30,1.0296214187289017,0.03791830774681408,1.0160768881957587,1.004855739900107,1.031400554512091,1.0170062436825649,1.0442360432923063
linear,5,Gaussian-m20,30,2.1368465382832444,0.46069099883306247,2.126407550265648,1.7511022406181764,2.4886505899580618,1.9694715436197552,2.2987860362970904
linear,5,Gaussian-m5,30,1.1326373988295892,0.2247773708200177,1.0773081206709496,1.0339767479638762,1.1428833460090404,1.075152690991325,1.2338021221269637
linear,5,SPSA-m1,30,1.0306279116586852,0.05392492040901305,1.0091716335149727,1.0013290958702008,1.0274779987487976,1.0144134318097053,1.052681426164986
linear,10,CoordinateCentral,30,4.1902887251475684,0.00933339953229826,4.190161294694168,4.18325623592054,4.196839748193959,4.186897317442013,4.193524761410554
linear,10,Gaussian-m1,30,1.2779812676787436,0.18378664950138926,1.2297193634620047,1.153752908251665,1.3632251559276538,1.211867001207414,1.3490162712995182
linear,10,Gaussian-m20,30,2.4015173497216824,0.7493881721179154,2.235881311586701,1.9627419696830515,2.7020884794967275,2.160563611765535,2.6611975792257647
linear,10,Gaussian-m5,30,1.491246967005313,0.1812729684189592,1.5061835191609374,1.3300941932872843,1.5692519542274244,1.43145453322538,1.5603260023087169
linear,10,SPSA-m1,30,1.3458614582673074,0.24003403211430185,1.271291096551742,1.169621067008776,1.4567219711205512,1.2631850174860597,1.4364893517810293
linear,20,CoordinateCentral,30,9.131368652090599,0.01598909395150829,9.128829934927893,9.122220274704302,9.138081126833548,9.125870457176733,9.137291470884854
linear,20,Gaussian-m1,30,2.2208021319047404,0.4883236084054311,2.1963132731978696,1.9785906828689623,2.4197421419266982,2.0536364687668427,2.392648169889073
linear,20,Gaussian-m20,30,3.8714621128082896,1.26923561149486,3.673956817711789,3.007653214479976,4.363070303541344,3.4795260491144338,4.350765269895574
linear,20,Gaussian-m5,30,2.8911213707468604,0.7154367920894211,2.7270918119638674,2.349689119816623,3.2119958523674548,2.6505090943934286,3.1494713980179414
linear,20,SPSA-m1,30,2.2729062213361106,0.5382940667766286,2.068996111174819,1.8729389715225273,2.7007582022078624,2.0982145476768785,2.4809375614872486
linear,50,CoordinateCentral,30,26.642637990828575,0.048816951691877546,26.636426810426162,26.60206073792397,26.679473241194913,26.62699344097167,26.659973134393294
