task,method,seed,tail_loss,tail_tracking_error,tail_feasibility_residual,tail_frame_error,tail_subspace_error
simplex_tracking,ProjectedSGD,1001,0.00020073655222230466,0.013268411432765638,7.993605777301127e-17,,
simplex_tracking,ExponentiatedGradient,1001,0.004154512300112395,0.060325879002641615,9.214851104388799e-17,,
simplex_tracking,EuclideanSGD,1001,0.00020471737596114076,0.013450008627862388,0.005174905134826138,,
stiefel_frame_tracking,RiemannianSGD,1001,0.004531494260332288,0.06134246661277487,5.995877188651704e-16,0.06134246661277487,0.05799421557347717
stiefel_frame_tracking,ProjectedEuclideanSGD,1001,0.004525402180691221,0.06130488876118181,5.339550652045432e-16,0.06130488876118181,0.05795746896218903
stiefel_frame_tracking,EuclideanSGD,1001,0.004517137837035366,0.0612119507864851,0.00731944943304635,0.0612119507864851,0.05786637798522209
grassmann_subspace_tracking,RiemannianSGD,1001,0.005967938394913845,0.07051063819307724,5.781292600317724e-16,0.09147973994526151,0.07051063819307724
grassmann_subspace_tracking,ProjectedEuclideanSGD,1001,0.005942839683539894,0.07037638614923777,5.991163330631241e-16,0.09134718607565093,0.07037638614923777
grassmann_subspace_tracking,EuclideanSGD,1001,0.005951324964369477,0.0704953027213339,0.007169311925299513,0.09145699106242589,0.0704953027213339
grassmann_basis_rotation,RiemannianSGD,1001,1.7859220596675753e-31,1.8400089089137987e-08,2.666619767305603e-16,0.7046840696120689,1.8400089089137987e-08
grassmann_basis_rotation,ProjectedEuclideanSGD,1001,1.6345343363890166e-31,2.2358680681973218e-08,2.9232919543049427e-16,0.7046840696120692,2.2358680681973218e-08
grassmann_basis_rotation,EuclideanSGD,1001,2.4590995753665373e-32,2.2586971712488493e-08,3.064843787232095e-16,0.7046840696120689,2.2586971712488493e-08
simplex_tracking,ProjectedSGD,1002,0.0004167443549472447,0.01855750089590013,6.605826996519681e-17,,
simplex_tracking,ExponentiatedGradient,1002,0.008397228798396838,0.08485181360852206,6.827871601444713e-17,,
simplex_tracking,EuclideanSGD,1002,0.00042052499026592674,0.01867905537464247,0.0049850620029212945,,
stiefel_frame_tracking,RiemannianSGD,1002,0.005699636765655118,0.06871902686350484,6.165629253833294e-16,0.06871902686350484,0.05881182479094917
stiefel_frame_tracking,ProjectedEuclideanSGD,1002,0.005693150878084792,0.06868361428252345,5.635095193072995e-16,0.06868361428252345,0.05877910612169648
stiefel_frame_tracking,EuclideanSGD,1002,0.005681344399223299,0.06859908749476878,0.0067080086239130286,0.06859908749476878,0.05870080767559083
grassmann_subspace_tracking,RiemannianSGD,1002,0.00645856088459913,0.07343147743505397,5.831230066114223e-16,0.08114232279146409,0.07343147743505397
grassmann_subspace_tracking,ProjectedEuclideanSGD,1002,0.006429489659081835,0.07327803288335558,5.409380492626388e-16,0.08098398222678264,0.07327803288335558
grassmann_subspace_tracking,EuclideanSGD,1002,0.006436732151573865,0.07340963517351298,0.007598787591055229,0.08111685103076964,0.07340963517351298
grassmann_basis_rotation,RiemannianSGD,1002,1.5865148843443666e-31,1.3930012288947703e-08,2.8936905094260933e-16,0.704684069612069,1.3930012288947703e-08
grassmann_basis_rotation,ProjectedEuclideanSGD,1002,1.8434032444171352e-31,1.637922142140909e-08,3.1323143089174824e-16,0.704684069612069,1.637922142140909e-08
grassmann_basis_rotation,EuclideanSGD,1002,2.3659327143068047e-32,1.3475235938409247e-08,2.2042788921101448e-16,0.704684069612069,1.3475235938409247e-08
simplex_tracking,ProjectedSGD,1003,0.0004744797473707856,0.019811046623303886,8.826273045769995e-17,,
simplex_tracking,ExponentiatedGradient,1003,0.010753828375950741,0.09516921832787517,6.161737786669619e-17,,
simplex_tracking,EuclideanSGD,1003,0.0004800970505965896,0.020006756890466777,0.00621431676492479,,
stiefel_frame_tracking,RiemannianSGD,1003,0.002998028114127884,0.050080132833521446,5.694988254393644e-16,0.050080132833521446,0.049692740254181904
stiefel_frame_tracking,ProjectedEuclideanSGD,1003,0.002996286059226169,0.050068071862176496,5.76452205895368e-16,0.050068071862176496,0.04968055140126321
stiefel_frame_tracking,EuclideanSGD,1003,0.0030008967064412456,0.05004860930118104,0.0056898978089589955,0.05004860930118104,0.04966086650035373
grassmann_subspace_tracking,RiemannianSGD,1003,0.005621884641014516,0.0685167267804368,6.336724176930027e-16,0.07714952938773852,0.0685167267804368
grassmann_subspace_tracking,ProjectedEuclideanSGD,1003,0.005601045239916519,0.0683991513752553,5.641924679007424e-16,0.07702094508798679,0.0683991513752553
grassmann_subspace_tracking,EuclideanSGD,1003,0.005608545566308195,0.06850037182359521,0.006656933544170202,0.0771202191584301,0.06850037182359521
grassmann_basis_rotation,RiemannianSGD,1003,9.626375641030721e-32,1.0536712127723508e-10,3.1405455129577327e-16,0.704684069612069,1.0536712127723508e-10
grassmann_basis_rotation,ProjectedEuclideanSGD,1003,2.6064452531743132e-31,9.049672163979689e-10,2.523271371602306e-16,0.7046840696120692,9.049672163979689e-10
grassmann_basis_rotation,EuclideanSGD,1003,2.357434548427196e-32,4.033903451541882e-10,4.996176800578893e-16,0.704684069612069,4.033903451541882e-10
simplex_tracking,ProjectedSGD,1004,0.00036032937445562243,0.017456602758940912,8.326672684688674e-17,,
simplex_tracking,ExponentiatedGradient,1004,0.008731615709625322,0.08538322727469935,8.326672684688674e-17,,
simplex_tracking,EuclideanSGD,1004,0.00036495129963213456,0.017609749026766333,0.005649339610609627,,
stiefel_frame_tracking,RiemannianSGD,1004,0.008256353730594794,0.08295982136765959,5.691665521062751e-16,0.08295982136765959,0.07028234443759705
stiefel_frame_tracking,ProjectedEuclideanSGD,1004,0.008241226174313849,0.0828920952407157,5.842102243968625e-16,0.0828920952407157,0.07021768655712922
stiefel_frame_tracking,EuclideanSGD,1004,0.00820339653315759,0.08274188086091142,0.007494021903688961,0.08274188086091142,0.07007275510782268
grassmann_subspace_tracking,RiemannianSGD,1004,0.0031156217665841124,0.05107321371308766,5.911732240007508e-16,0.15712834586060884,0.05107321371308766
