task,method,runs,tail_loss_mean,tail_loss_std,tail_loss_median,tail_loss_q25,tail_loss_q75,tail_loss_ci_low,tail_loss_ci_high,tail_tracking_error_mean,tail_tracking_error_std,tail_tracking_error_median,tail_tracking_error_q25,tail_tracking_error_q75,tail_tracking_error_ci_low,tail_tracking_error_ci_high,tail_feasibility_residual_mean,tail_feasibility_residual_std,tail_feasibility_residual_median,tail_feasibility_residual_q25,tail_feasibility_residual_q75,tail_feasibility_residual_ci_low,tail_feasibility_residual_ci_high,tail_frame_error_mean,tail_frame_error_std,tail_frame_error_median,tail_frame_error_q25,tail_frame_error_q75,tail_frame_error_ci_low,tail_frame_error_ci_high,tail_subspace_error_mean,tail_subspace_error_std,tail_subspace_error_median,tail_subspace_error_q25,tail_subspace_error_q75,tail_subspace_error_ci_low,tail_subspace_error_ci_high
grassmann_basis_rotation,EuclideanSGD,30,2.243290994088729e-32,1.936146156348607e-33,2.232473903581677e-32,2.1431145157440318e-32,2.3823051171744927e-32,2.1760497577791316e-32,2.310309670341583e-32,1.2982488409197094e-08,9.87964263216165e-09,1.2617866701685109e-08,5.85027985224e-09,2.025934316044542e-08,9.632353885660346e-09,1.6390199913457963e-08,3.7889977077890863e-16,1.9992080927536833e-16,3.2000330034470083e-16,2.304805550397209e-16,4.90812459614315e-16,3.063381799679999e-16,4.518806043346694e-16,0.7046840696120688,2.482534153247273e-16,0.704684069612069,0.704684069612069,0.7046840696120691,0.7046840696120688,0.7046840696120688,1.2982488409197094e-08,9.87964263216165e-09,1.2617866701685109e-08,5.85027985224e-09,2.025934316044542e-08,9.734278574531752e-09,1.6391963079115038e-08
grassmann_basis_rotation,ProjectedEuclideanSGD,30,2.6964583469686357e-31,2.8024333322106776e-31,2.3148555521131103e-31,1.6090365379620533e-31,2.9897205159513067e-31,1.9608357111422105e-31,3.866625796432527e-31,1.3037599285507498e-08,8.878177374187535e-09,1.2884129715295569e-08,6.25521586099071e-09,1.9967820690646633e-08,9.946155601650318e-09,1.628423478628053e-08,3.1499340439863333e-16,1.202957636939872e-16,2.9793524828079257e-16,2.4876561293651934e-16,3.3850232668736746e-16,2.775742604629554e-16,3.607153331932005e-16,0.7046840696120689,4.664941601352359e-16,0.7046840696120691,0.704684069612069,0.7046840696120691,0.7046840696120688,0.7046840696120692,1.3037599285507498e-08,8.878177374187535e-09,1.2884129715295569e-08,6.25521586099071e-09,1.9967820690646633e-08,1.0023634251392239e-08,1.6042752629869205e-08
grassmann_basis_rotation,RiemannianSGD,30,2.343793261749629e-31,3.186801211215977e-31,1.5900751840183179e-31,1.1216103856732495e-31,2.531554979820558e-31,1.5463238605354294e-31,3.61530760128515e-31,1.1980401034250023e-08,9.01193771113538e-09,9.604566760720127e-09,5.1628920700927125e-09,1.9714239894270847e-08,8.952405753133697e-09,1.505878618813257e-08,3.7102651729937687e-16,1.7202612027388034e-16,3.207631594817624e-16,2.5057318572057066e-16,4.631211564554214e-16,3.1154268765076704e-16,4.32395090533369e-16,0.7046840696120688,2.915588500845224e-16,0.704684069612069,0.704684069612069,0.7046840696120691,0.7046840696120688,0.7046840696120689,1.1980401034250023e-08,9.01193771113538e-09,9.604566760720127e-09,5.1628920700927125e-09,1.9714239894270847e-08,8.963265015902232e-09,1.5328687702573193e-08
grassmann_subspace_tracking,EuclideanSGD,30,0.005137742438337406,0.0019072776343925786,0.005586970375006007,0.003995177735642885,0.006721861808534293,0.004455019630606304,0.00577820546730327,0.06401220249092404,0.013719742485000202,0.06822314595867725,0.05748028796045518,0.07465929267820427,0.059067824870792825,0.06855162215652946,0.0066502313964977005,0.0013664686128801447,0.006999519516824234,0.005374027986234075,0.007862326510420105,0.0061840489138009335,0.007102001918871884,0.15051915947376432,0.09725689396122816,0.11543633552140883,0.08360625820278796,0.1922455268235965,0.118429470451572,0.18653553351465643,0.06401220249092404,0.013719742485000202,0.06822314595867725,0.05748028796045518,0.07465929267820427,0.05877166127283118,0.06864248969663045
grassmann_subspace_tracking,ProjectedEuclideanSGD,30,0.0051289560649397355,0.001908973895871846,0.005578235898568369,0.003984840045629899,0.006713814420489635,0.004494011672102998,0.005798364319845833,0.06391783516436632,0.013668910278906406,0.06811996679378637,0.05743858163885069,0.07451557464740931,0.05909951486760841,0.06842948563758056,5.656726555361281e-16,2.942064101469338e-17,5.652507784144269e-16,5.424002344383521e-16,5.833577857090439e-16,5.558204320005394e-16,5.764847009159418e-16,0.1504420872174207,0.09726816467232148,0.11529229023660437,0.0835627388020688,0.19216465975470257,0.11883865943062528,0.18527776364088866,0.06391783516436632,0.013668910278906406,0.06811996679378637,0.05743858163885069,0.07451557464740931,0.05927641813017351,0.06857654406843167
grassmann_subspace_tracking,RiemannianSGD,30,0.00514895266998154,0.0019217398726903278,0.0055993119321672835,0.003991808803440054,0.006745555399257073,0.004466174875691405,0.005817098292361851,0.06402524162776539,0.013727141196777398,0.06823856148558663,0.05748453529393604,0.07467672133471424,0.05879282692071152,0.06864035438862735,5.689254907540535e-16,2.926633877488704e-17,5.738469831086059e-16,5.441403664286217e-16,5.827459657314906e-16,5.59095478867598e-16,5.793195038530963e-16,0.15052729535948206,0.09725258203346966,0.11545658305662956,0.08361016644897562,0.19225625070859398,0.11885634811058712,0.18743466504115835,0.06402524162776539,0.013727141196777398,0.06823856148558663,0.05748453529393604,0.07467672133471424,0.05888536441917125,0.06841487089414507
simplex_tracking,EuclideanSGD,30,0.00023623881456177483,0.00010549484088251508,0.0002069132730027076,0.00015566353418853616,0.0003047214753879159,0.00020073233515806335,0.00027223595779802943,0.014032536026872587,0.0029009261934719696,0.013537091606792308,0.011795548765324031,0.016153172835758133,0.013066396935201731,0.015066597595907468,0.005401026868080353,0.0005012977743445628,0.005373530611433831,0.005018743228161696,0.005798570475833728,0.005224821927461447,0.005585441442336015,,,,,,,,,,,,,,
simplex_tracking,ExponentiatedGradient,30,0.005000549179502792,0.002504587563568563,0.004200804622729721,0.003229963733029969,0.006993566556992766,0.004181751525644659,0.005910770710181671,0.06308550789631091,0.01621554025858097,0.060091003488418546,0.05215125921024756,0.0773268760840316,0.057212310714072796,0.0687198088688883,6.585472907734888e-17,1.0574268470890389e-17,6.550315845288423e-17,6.00908212078366e-17,7.188694084447888e-17,6.217202678608184e-17,6.972293113231365e-17,,,,,,,,,,,,,,
simplex_tracking,ProjectedSGD,30,0.00023165939113363023,0.00010555037635622695,0.00020213269648422763,0.0001508299739364197,0.00029980776820277296,0.00019547737555618668,0.0002672987595499341,0.013831381041889754,0.0029352365885960525,0.013322754632074055,0.011533656318063683,0.015937725619452985,0.012788579831900286,0.014857663918090132,7.880733103130901e-17,7.55312355528365e-18,8.021361352916755e-17,7.341349750333848e-17,8.368306048112118e-17,7.608682202805045e-17,8.13798102979509e-17,,,,,,,,,,,,,,
stiefel_frame_tracking,EuclideanSGD,30,0.006324068485344376,0.002569592590295525,0.006634940724726133,0.004327799080494915,0.008062458167260325,0.005375857658050333,0.007215893375099603,0.07071379651585515,0.01621380622776219,0.074086714198357,0.060006063005511964,0.0819108558314456,0.06494537986209395,0.07603587899080232,0.0074561213417401765,0.0009821575416896393,0.007465688384443669,0.006639405823357526,0.00817635657197601,0.007117475253838396,0.007801598521763463,0.07071379651585515,0.01621380622776219,0.074086714198357,0.060006063005511964,0.0819108558314456,0.06473451119683785,0.07624532961369349,0.06345835585469309,0.011949405977349692,0.06821525384479973,0.05700457687252187,0.07057999351100577,0.05902496629199586,0.06751496070517837
