sweep,estimated_log_log_slope,expected_slope,absolute_slope_error,log_intercept,points
eta_noise,1.0653928966947406,1.0,0.06539289669474058,-6.13436947074885,4
eta_drift,-2.000000002455885,-2.0,2.455884828833632e-09,-10.963603570634609,4
sigma,2.010486874913855,2.0,0.010486874913854916,-1.4595027913954943,4
drift,1.999999999999998,2.0,1.9984014443252818e-15,4.238201355465432,4
