case_id,sweep,x_value,runs,tail_empirical_mse_mean,tail_empirical_mse_std,tail_empirical_mse_median,tail_empirical_mse_q25,tail_empirical_mse_q75,tail_empirical_mse_ci_low,tail_empirical_mse_ci_high,tail_exact_mse_mean,tail_exact_mse_std,tail_exact_mse_median,tail_exact_mse_q25,tail_exact_mse_q75,tail_exact_mse_ci_low,tail_exact_mse_ci_high,empirical_exact_ratio_mean,empirical_exact_ratio_std,empirical_exact_ratio_median,empirical_exact_ratio_q25,empirical_exact_ratio_q75,empirical_exact_ratio_ci_low,empirical_exact_ratio_ci_high
condition_1,condition_number,1.0,30,0.04036910536368345,0.0004281903747003475,0.04033939543333501,0.04010016540217762,0.04063576687154693,0.04021721967636769,0.040524550663637554,0.04020512820512815,1.4115032135209254e-17,0.040205128205128164,0.040205128205128164,0.040205128205128164,0.04020512820512815,0.04020512820512815,1.0040785135099848,0.010650143248286736,1.0033395547832058,0.9973893180388577,1.0107110382591402,1.000354311221727,1.0078345227405685
condition_20,condition_number,20.0,30,0.006591295449117687,0.00012412437951813093,0.006596808460527459,0.006519958387461871,0.006668943625625659,0.006548048593403483,0.006633560540836836,0.006591136150972752,8.821895084505784e-19,0.006591136150972751,0.006591136150972751,0.006591136150972751,0.006591136150972752,0.006591136150972752,1.0000241685410962,0.018832015706398694,1.0008605966292885,0.9892009872227606,1.0118048653328797,0.9936046467464716,1.0067936778161943
condition_5,condition_number,5.0,30,0.0070267527142513055,9.841464274375821e-05,0.007029606331873251,0.006963101378840263,0.007086996319476228,0.006992578850493092,0.007061561267256124,0.007016339595638295,1.7643790169011568e-18,0.007016339595638293,0.007016339595638293,0.007016339595638293,0.007016339595638295,0.007016339595638295,1.0014841240893593,0.014026493644198423,1.0018908343950748,0.9924122519908921,1.0100703112890743,0.9966858309521,1.0065520304005675
dimension_100,dimension,100.0,30,0.008509914997318336,0.0001158335744921734,0.008515177289528093,0.008424466673617879,0.008573751502528853,0.008470625464573361,0.008552572197870839,0.008480897436180548,0.0,0.008480897436180548,0.008480897436180548,0.008480897436180548,0.008480897436180548,0.008480897436180548,1.0034215201110668,0.013658174192510936,1.0040420077716425,0.9933461331200719,1.0109486132861574,0.9987090757136544,1.0082605786615102
dimension_20,dimension,20.0,30,0.007020339768457844,0.0001025983503428083,0.00702054833822717,0.006955844957020335,0.007076303649332873,0.00698375944953315,0.007056981333270441,0.007016339595638295,1.7643790169011568e-18,0.007016339595638293,0.007016339595638293,0.007016339595638293,0.007016339595638295,0.007016339595638295,1.0005701224641461,0.014622774303368743,1.0005998487575336,0.9913780344019316,1.0085463442692906,0.9954583730528205,1.0054345476997273
dimension_5,dimension,5.0,30,0.011775419738451372,0.00018487675966837738,0.011808385733842446,0.011643865777901876,0.011871545834344783,0.011711235234926792,0.01184094627383052,0.011669410731156278,3.5287580338023136e-18,0.011669410731156274,0.011669410731156274,0.011669410731156274,0.011669410731156278,0.011669410731156278,1.0090843496503266,0.015842853073529513,1.01190934194433,0.9978109474554533,1.0173217918064044,1.003597838902751,1.0147068418866958
drift_0p001,drift,0.001,30,6.928312398954641e-05,2.7568422139080575e-20,6.928312398954643e-05,6.928312398954643e-05,6.928312398954643e-05,6.928312398954641e-05,6.928312398954641e-05,6.928312398954765e-05,0.0,6.928312398954765e-05,6.928312398954765e-05,6.928312398954765e-05,6.928312398954765e-05,6.928312398954765e-05,0.9999999999999823,0.0,0.9999999999999823,0.9999999999999823,0.9999999999999823,0.9999999999999823,0.9999999999999823
drift_0p003,drift,0.003,30,0.0006235481159059584,1.102736885563223e-19,0.0006235481159059583,0.0006235481159059583,0.0006235481159059583,0.0006235481159059584,0.0006235481159059584,0.000623548115905929,1.102736885563223e-19,0.0006235481159059291,0.0006235481159059291,0.0006235481159059291,0.000623548115905929,0.000623548115905929,1.0000000000000466,2.2584051416334807e-16,1.0000000000000469,1.0000000000000469,1.0000000000000469,1.0000000000000466,1.0000000000000466
drift_0p01,drift,0.01,30,0.006928312398954697,8.821895084505784e-19,0.006928312398954698,0.006928312398954698,0.006928312398954698,0.006928312398954697,0.006928312398954697,0.0069283123989547606,2.6465685253517352e-18,0.006928312398954763,0.006928312398954763,0.006928312398954763,0.0069283123989547606,0.0069283123989547606,0.9999999999999903,2.2584051416334807e-16,0.9999999999999906,0.9999999999999906,0.9999999999999906,0.9999999999999903,0.9999999999999903
drift_0p03,drift,0.03,30,0.06235481159059247,1.4115032135209254e-17,0.06235481159059245,0.06235481159059245,0.06235481159059245,0.06235481159059247,0.06235481159059247,0.06235481159059291,7.057516067604627e-18,0.062354811590592904,0.062354811590592904,0.062354811590592904,0.06235481159059291,0.06235481159059291,0.9999999999999928,0.0,0.9999999999999928,0.9999999999999928,0.9999999999999928,0.9999999999999928,0.9999999999999928
eta_drift_0p01,eta_drift,0.01,30,0.1732078109397762,5.646012854083702e-17,0.17320781093977614,0.17320781093977614,0.17320781093977614,0.1732078109397762,0.1732078109397762,0.17320781093978102,5.646012854083702e-17,0.17320781093978108,0.17320781093978108,0.17320781093978108,0.17320781093978102,0.17320781093978102,0.9999999999999715,0.0,0.9999999999999715,0.9999999999999715,0.9999999999999715,0.9999999999999715,0.9999999999999715
eta_drift_0p025,eta_drift,0.025,30,0.027713249595817897,3.5287580338023136e-18,0.0277132495958179,0.0277132495958179,0.0277132495958179,0.027713249595817897,0.027713249595817897,0.027713249595819098,3.5287580338023136e-18,0.027713249595819094,0.027713249595819094,0.027713249595819094,0.027713249595819098,0.027713249595819098,0.999999999999957,1.1292025708167404e-16,0.9999999999999569,0.9999999999999569,0.9999999999999569,0.999999999999957,0.999999999999957
eta_drift_0p05,eta_drift,0.05,30,0.006928312398954697,8.821895084505784e-19,0.006928312398954698,0.006928312398954698,0.006928312398954698,0.006928312398954697,0.006928312398954697,0.0069283123989547606,2.6465685253517352e-18,0.006928312398954763,0.006928312398954763,0.006928312398954763,0.0069283123989547606,0.0069283123989547606,0.9999999999999903,2.2584051416334807e-16,0.9999999999999906,0.9999999999999906,0.9999999999999906,0.9999999999999903,0.9999999999999903
eta_drift_0p09,eta_drift,0.09,30,0.002138368024368739,4.410947542252892e-19,0.0021383680243687395,0.0021383680243687395,0.0021383680243687395,0.002138368024368739,0.002138368024368739,0.002138368024368756,8.821895084505784e-19,0.002138368024368755,0.002138368024368755,0.002138368024368755,0.002138368024368756,0.002138368024368756,0.9999999999999927,0.0,0.9999999999999927,0.9999999999999927,0.9999999999999927,0.9999999999999927,0.9999999999999927
eta_noise_0p01,eta_noise,0.01,30,1.5989409932916753e-05,2.13218809381175e-06,1.570872061148199e-05,1.4777060730047404e-05,1.7895217043792624e-05,1.522887571083908e-05,1.676340858746891e-05,1.6726245827618124e-05,3.446052767385072e-21,1.672624582761812e-05,1.672624582761812e-05,1.672624582761812e-05,1.6726245827618124e-05,1.6726245827618124e-05,0.9559473236077449,0.1274755922988477,0.9391659535186305,0.8834654758958371,1.0698884392960621,0.9094967459204453,0.9993434010993334
eta_noise_0p025,eta_noise,0.025,30,4.320797808920476e-05,4.745239177206994e-06,4.244172685251967e-05,4.000340263925423e-05,4.591451312159413e-05,4.1636301035165693e-05,4.495923252383181e-05,4.260700487742191e-05,1.3784211069540288e-20,4.2607004877421926e-05,4.2607004877421926e-05,4.2607004877421926e-05,4.260700487742191e-05,4.260700487742191e-05,1.014105033045899,0.11137227765384572,0.9961208720167551,0.9388926246832389,1.077628273888008,0.977111262112844,1.054927147503217
eta_noise_0p05,eta_noise,0.05,30,8.71541589501529e-05,6.947726849295269e-06,8.736982446959287e-05,8.220847595008609e-05,9.244484732571763e-05,8.475974647644016e-05,8.958929383796252e-05,8.802719668353059e-05,2.7568422139080575e-20,8.802719668353056e-05,8.802719668353056e-05,8.802719668353056e-05,8.802719668353059e-05,8.802719668353059e-05,0.9900821817998321,0.07892704881053145,0.9925321691624347,0.933898602333509,1.0501850656231744,0.962547152869237,1.016933985207717
eta_noise_0p09,eta_noise,0.09,30,0.00016825361817747927,1.1087238904898906e-05,0.00016768671752188387,0.00016019471972389203,0.00017433360791380947,0.00016450734007002993,0.00017226103711370514,0.0001675122888178902,5.513684427816115e-20,0.00016751228881789015,0.00016751228881789015,0.00016751228881789015,0.0001675122888178902,0.0001675122888178902,1.004425522239715,0.06618761514835682,1.0010412890016884,0.9563162252415203,1.0407213055475295,0.9814465744334644,1.0292290060871054
reference,reference,1.0,30,0.007017420654219755,0.00011250282411075497,0.00700638448881563,0.006936976674434812,0.007123937562948033,0.006977317876357609,0.007057050551696544,0.007016339595638295,1.7643790169011568e-18,0.007016339595638293,0.007016339595638293,0.007016339595638293,0.007016339595638295,0.007016339595638295,1.0001540772886954,0.016034404061726466,0.9985811537929477,0.9886888426476939,1.0153353420032047,0.994519721569466,1.0059407569885268
sigma_0p005,sigma,0.005,30,5.453412444840075e-06,4.0464457250003734e-07,5.423194874717248e-06,5.232143380071628e-06,5.677338985596218e-06,5.309708683261312e-06,5.591569027888041e-06,5.501699792720662e-06,1.723026383692536e-21,5.50169979272066e-06,5.50169979272066e-06,5.50169979272066e-06,5.501699792720662e-06,5.501699792720662e-06,0.9912231947034851,0.07354900989607353,0.9857307884906257,0.9510048852527933,1.031924532325073,0.965582393512722,1.0165336699228973
sigma_0p01,sigma,0.01,30,2.2225501494863575e-05,1.492913648983995e-06,2.2038012189472564e-05,2.105153184637367e-05,2.3573935036078688e-05,2.1684814005741726e-05,2.2764615789749485e-05,2.2006799170882647e-05,6.892105534770144e-21,2.200679917088264e-05,2.200679917088264e-05,2.200679917088264e-05,2.2006799170882647e-05,2.2006799170882647e-05,1.0099379433729874,0.06783874553457464,1.0014183352311963,0.9565921733055622,1.0712114402929407,0.9862275086664902,1.0351119665196262
sigma_0p02,sigma,0.02,30,9.03024534701189e-05,6.59432896648553e-06,8.920263883426625e-05,8.56179163355828e-05,9.403763225047456e-05,8.804901369009184e-05,9.267015608909233e-05,8.802719668353059e-05,2.7568422139080575e-20,8.802719668353056e-05,8.802719668353056e-05,8.802719668353056e-05,8.802719668353059e-05,8.802719668353059e-05,1.0258472025954455,0.07491240451735633,1.0133531703271383,0.9726302729302008,1.0682793022314718,1.0002182579721022,1.0522977616271145
sigma_0p05,sigma,0.05,30,0.0005581353397111964,4.176011627685898e-05,0.0005568188983203677,0.0005305530084196121,0.0005807526527849775,0.000544200213612269,0.0005731171373193709,0.0005501699792720661,1.102736885563223e-19,0.0005501699792720662,0.0005501699792720662,0.0005501699792720662,0.0005501699792720661,0.0005501699792720661,1.0144779990534367,0.07590402575602559,1.0120852087514822,0.9643437999317785,1.0555876813805352,0.9880442169847472,1.0407276921357478
