case_id,sweep,x_value,dim,condition_number,learning_rate,gradient_noise,drift_per_step,seed,tail_empirical_mse,tail_exact_mse,empirical_exact_ratio,final_empirical_mse,final_exact_mse
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1001,0.007118218479348589,0.007016339595638293,1.0145202327113172,0.006826358993889249,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1002,0.007017650350116423,0.007016339595638293,1.000186814571938,0.0064609125642690465,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1003,0.007128110014898868,0.007016339595638293,1.0159300184572104,0.0071561818650750075,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1004,0.007213344150993944,0.007016339595638293,1.028077967531406,0.00688080097324376,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1005,0.006977772840611286,0.007016339595638293,0.9945032941320311,0.006457365893332493,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1006,0.007078321401912176,0.007016339595638293,1.0088339233626054,0.006644340525347585,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1007,0.006888073454519401,0.007016339595638293,0.9817189377209409,0.006939044694993338,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1008,0.0069332392517204,0.007016339595638293,0.9881561684999465,0.007132320929349133,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1009,0.006951983065597573,0.007016339595638293,0.9908276204189536,0.0074612176568617855,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1010,0.0069380209637246995,0.007016339595638293,0.9888376794130261,0.0066202957119543245,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1011,0.0071248397177463224,0.007016339595638293,1.0154639211271186,0.007440041486972727,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1012,0.007142013658354571,0.007016339595638293,1.0179116277088989,0.0075591955430302955,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1013,0.007004907655844438,0.007016339595638293,0.9983706689737536,0.0070136256183072065,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1014,0.006961021389312041,0.007016339595638293,0.9921158026101473,0.0075660709674869485,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1015,0.0071408939434128476,0.007016339595638293,1.0177520409433978,0.0068690493115370465,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1016,0.0071439071355471565,0.007016339595638293,1.0181814945200438,0.006656296155994471,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1017,0.007059265638459153,0.007016339595638293,1.0061180109992887,0.00722208746715338,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1018,0.006982928412287187,0.007016339595638293,0.9952380891922797,0.007085913295951915,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1019,0.007130152150686544,0.007016339595638293,1.01622107275409,0.006123034165932347,0.007016339595638293
reference,reference,1.0,20,5.0,0.05,0.02,0.01,1020,0.006976850246184432,0.007016339595638293,0.9943718018611286,0.00701311577959877,0.007016339595638293
