case_id,dim,condition_number,path_kind,observation_noise,drift_per_query,amplitude,period,protocol,method,family,seed,final_mse,query_averaged_mse,tail_mse,queries_to_threshold,mean_gradient_cosine,updates,queries_per_update,learning_rate,smoothing,directions,maximum_gradient_norm,failed
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1023,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1024,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1025,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1026,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1027,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1028,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1029,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1030,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1001,1.3809088047810377e-05,0.004999470744159472,1.0909048585489512e-05,250.0,0.14095712649343467,5000.0,2.0,0.020000000000000004,0.1,1.0,21.159755751675853,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1002,6.727800848137672e-06,0.004878457434187611,1.2345590451636602e-05,300.0,0.13919230814241307,5000.0,2.0,0.020000000000000004,0.1,1.0,21.723576501128292,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1003,6.179823617506224e-06,0.005171993534656605,1.0054473373678432e-05,250.0,0.14286400895750412,5000.0,2.0,0.020000000000000004,0.1,1.0,21.87170131656419,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1004,1.1795812410336918e-05,0.005223409755063191,1.1979772525661293e-05,200.0,0.13627440848701308,5000.0,2.0,0.020000000000000004,0.1,1.0,24.65851695927164,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1005,1.2986313340592118e-05,0.006489564928508135,1.2463145085213687e-05,300.0,0.14595448077374165,5000.0,2.0,0.020000000000000004,0.1,1.0,40.91251419354088,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1006,1.2196131038312057e-05,0.004255117430029343,1.0470730898997214e-05,200.0,0.14150743740619973,5000.0,2.0,0.020000000000000004,0.1,1.0,23.577202934224914,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1007,5.331344086875436e-06,0.0054239734173954605,9.958866476497396e-06,200.0,0.14057626707232365,5000.0,2.0,0.020000000000000004,0.1,1.0,18.707077059097177,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1008,8.794703534782614e-06,0.00575389401405947,9.7861659075782e-06,250.0,0.13977814126192578,5000.0,2.0,0.020000000000000004,0.1,1.0,18.679480774581922,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,SPSA-m1,spsa,1009,7.934356647245117e-06,0.004860399337458605,1.0253717824182353e-05,200.0,0.1425700781682997,5000.0,2.0,0.020000000000000004,0.1,1.0,22.798931971311784,0.0
