case_id,protocol,method,runs,final_mse_mean,final_mse_std,final_mse_median,final_mse_q25,final_mse_q75,final_mse_ci_low,final_mse_ci_high,query_averaged_mse_mean,query_averaged_mse_std,query_averaged_mse_median,query_averaged_mse_q25,query_averaged_mse_q75,query_averaged_mse_ci_low,query_averaged_mse_ci_high,tail_mse_mean,tail_mse_std,tail_mse_median,tail_mse_q25,tail_mse_q75,tail_mse_ci_low,tail_mse_ci_high,queries_to_threshold_mean,queries_to_threshold_std,queries_to_threshold_median,queries_to_threshold_q25,queries_to_threshold_q75,queries_to_threshold_ci_low,queries_to_threshold_ci_high,mean_gradient_cosine_mean,mean_gradient_cosine_std,mean_gradient_cosine_median,mean_gradient_cosine_q25,mean_gradient_cosine_q75,mean_gradient_cosine_ci_low,mean_gradient_cosine_ci_high,updates_mean,updates_std,updates_median,updates_q25,updates_q75,updates_ci_low,updates_ci_high,maximum_gradient_norm_mean,maximum_gradient_norm_std,maximum_gradient_norm_median,maximum_gradient_norm_q25,maximum_gradient_norm_q75,maximum_gradient_norm_ci_low,maximum_gradient_norm_ci_high,failed_mean,failed_std,failed_median,failed_q25,failed_q75,failed_ci_low,failed_ci_high
cyclic_fast_d20,frozen,CoordinateCentral,30,0.009267020420682734,0.00010214003193456675,0.009273649196447757,0.009212146560460124,0.009336307226386148,0.009231225294217563,0.009301493918249597,0.613345498987825,5.538532285423679e-05,0.6133391831015733,0.6133135907809046,0.6133798688420282,0.6133253486877094,0.6133648751637681,0.578453588485608,5.430130869554943e-05,0.5784519563622671,0.5784196216702053,0.5784779588842738,0.5784346019738198,0.5784724744770033,1586.6666666666667,100.80138659874618,1500.0,1500.0,1700.0,1553.3333333333333,1620.0,0.5778362870894272,0.00021057280502346682,0.5777981550641287,0.5776761938857149,0.5779967338045515,0.5777659482995687,0.5779141643748431,250.0,0.0,250.0,250.0,250.0,250.0,250.0,3.8912858621926305,0.007082157742826966,3.8889821281881067,3.8857877074834852,3.8969563898965403,3.888826441293839,3.8936905534236517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyclic_fast_d20,frozen,FirstOrderReference,30,0.11161707593723089,2.823006427041851e-17,0.11161707593723086,0.11161707593723086,0.11161707593723086,0.11161707593723089,0.11161707593723089,0.07856152559551668,1.4115032135209254e-17,0.0785615255955167,0.0785615255955167,0.0785615255955167,0.07856152559551668,0.07856152559551668,0.07728680245573362,1.4115032135209254e-17,0.0772868024557336,0.0772868024557336,0.0772868024557336,0.07728680245573362,0.07728680245573362,,,,,,,,0.9979115032827035,2.2584051416334807e-16,0.9979115032827033,0.9979115032827033,0.9979115032827033,0.9979115032827035,0.9979115032827035,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,3.0139374681374407,4.516810283266961e-16,3.0139374681374402,3.0139374681374402,3.0139374681374402,3.0139374681374407,3.0139374681374407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyclic_fast_d20,frozen,Gaussian-m1,30,0.48745829965478993,0.1476508445212861,0.47542594652355913,0.39229184178234355,0.5988339306018615,0.4356774582061034,0.5383754314001634,0.7061185933436577,0.02002261025262796,0.7034644142857591,0.693630186755454,0.7150921220780038,0.6996344064760005,0.7131984854367714,0.6901444549815273,0.04631500011999772,0.690039277490244,0.6575833215335444,0.7155208581640492,0.673498633501935,0.7070125222269229,,,,,,,,0.18000210585298057,0.001952033715190534,0.18023318750503853,0.17897187589675254,0.18108278414476373,0.17934529377359767,0.18066429591710084,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,42.65138838299324,3.6639317085097867,42.240991508358064,40.494176722558166,43.89286868297621,41.472354934201334,43.97859773962906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyclic_fast_d20,frozen,Gaussian-m20,30,1.0319547710602361,0.3571763489906759,0.9976993975098357,0.7621772945411619,1.273203325081247,0.9096015808911323,1.155586138369713,1.6438113868665718,0.05454466889353118,1.636735857308921,1.6225593125156723,1.6747699022874218,1.6253043044138835,1.6632251205152138,1.6328553834636408,0.11064392041983766,1.6114800284585804,1.546265975803139,1.6903586135207609,1.5972594840116567,1.6738769538073972,,,,,,,,0.5872687081787284,0.010940007015638341,0.5867314409773172,0.5804784061967941,0.5938118652468887,0.5833888851486232,0.590956605835421,250.0,0.0,250.0,250.0,250.0,250.0,250.0,10.292576610720419,1.2059906542965186,10.023142102174333,9.459904911689318,11.04936342017093,9.880019487882247,10.717023421892373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyclic_fast_d20,frozen,Gaussian-m5,30,0.8841147569001182,0.30900116958712914,0.8824817119082149,0.6344651956234301,1.021107127318825,0.7751512567520966,0.9946746252112794,1.0119751747131533,0.03230830991322467,1.0123048789679896,0.9874315155622354,1.0282746029755765,1.0003338163084299,1.0233938955443573,1.0323157683155677,0.08298630699900524,1.0267324792659869,0.9874414664139233,1.076478443792626,1.0035148589960114,1.0614962540399109,,,,,,,,0.43922384774190815,0.003697803317970467,0.43966427997055435,0.4362861116632658,0.4413960187257204,0.43787465184621693,0.44050082447177663,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,16.535702544840436,1.966912906339072,16.347304557408904,14.823885768214325,17.400991397442468,15.858207013141998,17.261547443977324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyclic_fast_d20,frozen,SPSA-m1,30,0.47854876869041,0.1571823659060078,0.46651538614546917,0.3727319583312982,0.5838302455083588,0.4259497513657686,0.5317800929143276,0.7054585224089894,0.025917765247178814,0.7045361057979502,0.6900364715089078,0.7244114699129485,0.6963563801821496,0.7138624370752823,0.6983033620389426,0.05255191512450048,0.6947119280234773,0.6661983484714258,0.7251340606662917,0.6801381432418683,0.716998196716073,,,,,,,,0.18006249013862577,0.0022923954248113753,0.18030368030424926,0.1782191050685474,0.1819163856272295,0.17924631494988766,0.18084812897144206,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,43.86198878459281,3.988607597098005,43.4638091706733,40.69738993710474,47.066885397362014,42.50466210590016,45.301666873242496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyclic_fast_d20,streaming,CoordinateCentral,30,0.010906918553406551,0.00011093441728113294,0.010897310902637312,0.010855098952558472,0.01095727848977057,0.010866873989442619,0.010944663584220131,0.5750855017508573,7.37660146994876e-05,0.5750815768117605,0.5750237702949609,0.5751407099792627,0.5750590631202425,0.5751108068204411,0.539336986606495,8.773805005244454e-05,0.5393382537358834,0.5392844280211837,0.539390090926749,0.539305471946421,0.5393694824037535,,,,,,,,0.6852766442179317,0.00032625299557420215,0.6852549238192407,0.6851014205909216,0.6855547998396981,0.6851598227577095,0.6853825688116362,250.0,0.0,250.0,250.0,250.0,250.0,250.0,3.9060296594214057,0.005803813563661962,3.9054088050188795,3.9024379435311793,3.9103902682295093,3.9040407641426103,3.9080650112139557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyclic_fast_d20,streaming,FirstOrderReference,30,0.11161707593723089,2.823006427041851e-17,0.11161707593723086,0.11161707593723086,0.11161707593723086,0.11161707593723089,0.11161707593723089,0.07856152559551668,1.4115032135209254e-17,0.0785615255955167,0.0785615255955167,0.0785615255955167,0.07856152559551668,0.07856152559551668,0.07728680245573362,1.4115032135209254e-17,0.0772868024557336,0.0772868024557336,0.0772868024557336,0.07728680245573362,0.07728680245573362,,,,,,,,0.9979115032827035,2.2584051416334807e-16,0.9979115032827033,0.9979115032827033,0.9979115032827033,0.9979115032827035,0.9979115032827035,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,3.0139374681374407,4.516810283266961e-16,3.0139374681374402,3.0139374681374402,3.0139374681374402,3.0139374681374407,3.0139374681374407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyclic_fast_d20,streaming,Gaussian-m1,30,0.4926552643727721,0.14641904119972923,0.47751541450324614,0.4097834999504768,0.6210407113132079,0.44110306686357226,0.5425813111957831,0.7079245968473492,0.02039339308080155,0.7061067002525891,0.694871690395056,0.7195926110299365,0.7011529222519303,0.7150497410691046,0.6917750115604976,0.04800880545828444,0.6919013455698284,0.6587623247863457,0.7222119924831354,0.6746978343912415,0.7081867214318367,,,,,,,,0.17945160605176186,0.0020489825920143815,0.17976541817686764,0.1782561076310512,0.1806432240751334,0.1787200617813334,0.18016707490384865,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,42.99567214415181,3.766541346011997,42.44275837346326,40.59251978205192,45.37164429743961,41.68839546272902,44.33286803072976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyclic_fast_d20,streaming,Gaussian-m20,30,0.6823395200116893,0.29731465179386396,0.5971946151755232,0.4425740663753683,0.9185036264878031,0.5788507768095156,0.7965145399767974,1.2713114256845948,0.04800763886323014,1.268595606571921,1.2371339997271436,1.2943487332889752,1.2546804121787396,1.288229382595443,1.2557499602438082,0.10001860739771444,1.236383982541272,1.1956372025837458,1.3062025116403044,1.2210946014435806,1.2927054558958908,,,,,,,,0.6749882579184369,0.008211550792669333,0.6758899986647282,0.6709369506386943,0.6789567260382583,0.6721422883039045,0.6776656872575145,250.0,0.0,250.0,250.0,250.0,250.0,250.0,9.944016596409707,0.8724332550241083,9.8194818596951,9.37345381944905,10.410147788839707,9.661867437662353,10.244705000571608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
