case_id,method,seed,frozen,streaming,freshness_log_ratio
cyclic_fast_d20,CoordinateCentral,1001,0.6132978625183134,0.5750220925480766,-0.06444226552996891
cyclic_fast_d20,CoordinateCentral,1002,0.6133392697185208,0.5750441047169543,-0.06447149906564126
cyclic_fast_d20,CoordinateCentral,1003,0.6133688103205499,0.5751006053179102,-0.06442141191312098
cyclic_fast_d20,CoordinateCentral,1004,0.6132761377482995,0.5750068512036791,-0.06443334805207776
cyclic_fast_d20,CoordinateCentral,1005,0.6133302555949909,0.5750180768327278,-0.06450206559753673
cyclic_fast_d20,CoordinateCentral,1006,0.6134321019646813,0.5751987317115252,-0.06435398332976819
cyclic_fast_d20,CoordinateCentral,1007,0.6132128690488735,0.5749238771800399,-0.06447448896429527
cyclic_fast_d20,CoordinateCentral,1008,0.6133159147700218,0.575067449545889,-0.06439282422425875
cyclic_fast_d20,CoordinateCentral,1009,0.6133642784108695,0.5751086732788986,-0.06439999464648401
cyclic_fast_d20,CoordinateCentral,1010,0.6133976577063237,0.5751412827844808,-0.06439771332464596
cyclic_fast_d20,CoordinateCentral,1011,0.6134306705894884,0.5752095715386502,-0.06433280475655447
cyclic_fast_d20,CoordinateCentral,1012,0.6133805789826764,0.5750902773810842,-0.06445855730369997
cyclic_fast_d20,CoordinateCentral,1013,0.6133777384200836,0.57507582831884,-0.06447905147248406
cyclic_fast_d20,CoordinateCentral,1014,0.6133390964846258,0.5751587224356725,-0.06427191660894895
cyclic_fast_d20,CoordinateCentral,1015,0.6133738754378901,0.575087325304681,-0.06445276164640695
cyclic_fast_d20,CoordinateCentral,1016,0.6133837729410162,0.5751389915636083,-0.06437906099915977
cyclic_fast_d20,CoordinateCentral,1017,0.6132479911845538,0.5749842995002171,-0.06442667223804943
cyclic_fast_d20,CoordinateCentral,1018,0.6133128161178656,0.5750185206861859,-0.06447285922600872
cyclic_fast_d20,CoordinateCentral,1019,0.6132588701745639,0.5750288035356138,-0.06436701459222727
cyclic_fast_d20,CoordinateCentral,1020,0.6133344430136777,0.5751715899073814,-0.06424195768470228
cyclic_fast_d20,CoordinateCentral,1021,0.6133329384588297,0.5751009707963259,-0.06436229135144231
cyclic_fast_d20,CoordinateCentral,1022,0.6134234861200009,0.5751716300277987,-0.06438705610850645
cyclic_fast_d20,CoordinateCentral,1023,0.6133373236756322,0.5750676655496713,-0.06442735481612219
cyclic_fast_d20,CoordinateCentral,1024,0.61334406915361,0.5751128336226753,-0.06435981190297096
cyclic_fast_d20,CoordinateCentral,1025,0.613442972110051,0.5752299761124059,-0.06431738554289555
cyclic_fast_d20,CoordinateCentral,1026,0.6133891823414603,0.575069400575935,-0.06450888578690757
cyclic_fast_d20,CoordinateCentral,1027,0.6133063135856405,0.5750360235794422,-0.06443181848974527
cyclic_fast_d20,CoordinateCentral,1028,0.613303905663299,0.5750164907034979,-0.06446186101660828
cyclic_fast_d20,CoordinateCentral,1029,0.613334549853334,0.5750046944580347,-0.06453234035061153
cyclic_fast_d20,CoordinateCentral,1030,0.6133752175250111,0.5751596918078176,-0.06432912192416164
cyclic_fast_d20,FirstOrderReference,1001,0.0785615255955167,0.0785615255955167,0.0
cyclic_fast_d20,FirstOrderReference,1002,0.0785615255955167,0.0785615255955167,0.0
cyclic_fast_d20,FirstOrderReference,1003,0.0785615255955167,0.0785615255955167,0.0
cyclic_fast_d20,FirstOrderReference,1004,0.0785615255955167,0.0785615255955167,0.0
cyclic_fast_d20,FirstOrderReference,1005,0.0785615255955167,0.0785615255955167,0.0
cyclic_fast_d20,FirstOrderReference,1006,0.0785615255955167,0.0785615255955167,0.0
cyclic_fast_d20,FirstOrderReference,1007,0.0785615255955167,0.0785615255955167,0.0
cyclic_fast_d20,FirstOrderReference,1008,0.0785615255955167,0.0785615255955167,0.0
cyclic_fast_d20,FirstOrderReference,1009,0.0785615255955167,0.0785615255955167,0.0
cyclic_fast_d20,FirstOrderReference,1010,0.0785615255955167,0.0785615255955167,0.0
cyclic_fast_d20,FirstOrderReference,1011,0.0785615255955167,0.0785615255955167,0.0
cyclic_fast_d20,FirstOrderReference,1012,0.0785615255955167,0.0785615255955167,0.0
