case_id,protocol,method,metric,queries,mean,std,ci_low,ci_high,runs
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,0.0,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,50.0,1.1578368583302705,0.0006321602806120408,1.1576106426791124,1.1580630739814286,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,100.0,0.6813387342690898,0.0006403314499233639,0.6811095946025465,0.681567873935633,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,150.0,2.4208801390848302,0.0014565635497349294,2.420358914512579,2.4214013636570817,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,200.0,0.3176545494424262,0.0006241939051983196,0.31743118452209845,0.317877914362754,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,250.0,0.9186110707234593,0.0012000898071696149,0.9181816241012923,0.9190405173456262,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,300.0,0.24510889687173698,0.0005877850290489875,0.24489856070041266,0.2453192330430613,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,350.0,1.8382850301465012,0.0018195224528952392,1.8376339223988272,1.8389361378941753,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,400.0,0.1251413952344792,0.0005687806325312809,0.12493785969910903,0.12534493076984937,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,450.0,0.9265471527613065,0.0011531517433170536,0.926134502709573,0.92695980281304,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,500.0,0.10742600780956726,0.000490055849952708,0.10725064357584238,0.10760137204329215,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,550.0,1.5897018278671884,0.001473693682041804,1.589174473355817,1.5902291823785597,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,600.0,0.06156694429740546,0.0003582462830063178,0.06143874751144677,0.06169514108336415,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,650.0,0.9691291872701735,0.0011554438099838226,0.968715717012917,0.96954265752743,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,700.0,0.05562927899000159,0.0003521567847812656,0.05550326130299684,0.05575529667700634,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,750.0,1.4638705828011747,0.0017124532948160724,1.4632577892596548,1.4644833763426945,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,800.0,0.03642139334791802,0.00032511114224505444,0.036305053819799475,0.03653773287603656,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,850.0,1.00666166215177,0.001295490655770595,1.006198076774371,1.0071252475291692,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,900.0,0.03267457606418988,0.00030163130413939494,0.03256663868822967,0.03278251344015009,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,950.0,1.3918917179958659,0.0014836626062043,1.3913607961507979,1.3924226398409338,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,1000.0,0.024690411828115037,0.0002456208374857147,0.024602517540236003,0.024778306115994072,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,1050.0,1.0359806603826478,0.0013332255672870287,1.0355035717405832,1.0364577490247124,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,1100.0,0.020829446849904096,0.00020452654834792863,0.020756257964533394,0.0209026357352748,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,1150.0,1.3458790625908688,0.0015874500530645335,1.3453110008849243,1.3464471242968132,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,1200.0,0.018329374606090836,0.00022425660190706248,0.018249125411728653,0.01840962380045302,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,1250.0,1.058127141987208,0.001241964362658248,1.057682710747805,1.058571573226611,30
cyclic_fast_d20,frozen,CoordinateCentral,squared_error,1300.0,0.014068901732546213,0.00019266103057905077,0.013999958868177991,0.014137844596914435,30
