method,episode,return,q_softmax_entropy
Curriculum pretrained,107,-25.483148825706863,0.35162646336778164
Curriculum pretrained,108,-38.713981723044235,0.4680879190902322
Curriculum pretrained,109,-61.65029840516789,0.8683626330498678
Curriculum pretrained,110,-19.798363689767932,0.7292879800047452
Curriculum pretrained,111,-42.21963050540725,0.6088578183200416
Curriculum pretrained,112,-25.869315448175215,0.5647744641977837
Curriculum pretrained,113,-26.692966765541254,0.5241336872903215
Curriculum pretrained,114,-36.06517804562152,0.4706137257659884
Curriculum pretrained,115,-25.20106375281553,0.5442384973699381
Curriculum pretrained,116,-44.15350132004538,0.6592947937762564
Curriculum pretrained,117,-26.22122467530622,0.6001464523368398
Curriculum pretrained,118,-22.218823555593264,0.6695246921456948
Curriculum pretrained,119,-47.33065655940811,0.6585930334241412
Curriculum pretrained,120,-22.274468644403854,0.5047990898075176
Curriculum pretrained,121,-32.876620877606264,0.38399887185571185
Curriculum pretrained,122,-38.022128471130685,0.575840284092208
Curriculum pretrained,123,-44.155467769669464,0.7324083252302652
Curriculum pretrained,124,-50.848677895848425,0.8847985931789549
Curriculum pretrained,125,-43.030076375317,0.9575073907595131
Curriculum pretrained,126,-37.61145730234094,0.5725423428990059
Curriculum pretrained,127,-42.03210840645423,0.8356655408421267
Curriculum pretrained,128,-59.7639053318462,1.4027130715387912
Curriculum pretrained,129,-33.68956858282806,0.9353313350450757
Curriculum pretrained,130,-33.03962350543358,0.7184845798585814
Curriculum pretrained,131,-33.8165596342009,0.7398089795069234
Curriculum pretrained,132,-26.612696339277964,0.5252434658938303
Curriculum pretrained,133,-31.988066588453847,0.6186197055134058
Curriculum pretrained,134,-46.11407305020553,0.8912459813547394
Curriculum pretrained,135,-44.24952524516391,0.8872041346945498
Curriculum pretrained,136,-27.196770032151083,0.909443023628232
Curriculum pretrained,137,-29.590275463087274,0.5589569935293409
Curriculum pretrained,138,-34.860203346402194,0.4773696056354016
Curriculum pretrained,139,-39.576793585679916,0.6846338249711884
Curriculum pretrained,140,-44.90569750210384,0.6433996158307212
Curriculum pretrained,141,-34.554729456155144,0.5204148826476477
Curriculum pretrained,142,-37.246892168856775,0.5154310436778758
Curriculum pretrained,143,-36.916744400373034,0.6134980749414167
Curriculum pretrained,144,-24.84464679502509,0.6918041059847198
Curriculum pretrained,145,-34.208483689090045,0.6254254318259684
Curriculum pretrained,146,-43.358361716226476,0.9300289051525563
Curriculum pretrained,147,-51.55921455086857,0.9405121285634497
Curriculum pretrained,148,-39.16534618358625,0.8802835333256916
Curriculum pretrained,149,-39.510923678357756,0.6249147151552502
Curriculum pretrained,150,-52.14533476496496,0.9952017995607702
Curriculum pretrained,151,-37.189494143556075,0.8758510243914858
Curriculum pretrained,152,-42.25216454411574,0.9627956963706596
Curriculum pretrained,153,-39.3254321963875,0.9458144549967942
Curriculum pretrained,154,-40.29304668531612,0.7938168092166217
Curriculum pretrained,155,-28.881223491995573,0.5730866841158047
Curriculum pretrained,156,-35.338135109514425,0.653875242683198
Curriculum pretrained,157,-38.83679144219222,0.8148259245836309
Curriculum pretrained,158,-34.952188501831515,0.8043752914490938
Curriculum pretrained,159,-52.361155468961435,1.0858284624185475
Curriculum pretrained,160,-28.650374674399096,0.6008943535552674
Curriculum pretrained,161,-29.308609939473286,0.585830370194887
Curriculum pretrained,162,-30.945127775278294,0.45920982461441007
Curriculum pretrained,163,-45.69459299045339,0.5787597130430332
Curriculum pretrained,164,-30.877214488098666,0.7294892844107017
Curriculum pretrained,165,-27.581035142793468,0.508550298694518
Curriculum pretrained,166,-63.149758332998125,1.037387240277187
Curriculum pretrained,167,-46.82954572883642,0.9304510674979073
Curriculum pretrained,168,-28.789389540361903,0.866989560123903
Curriculum pretrained,169,-44.286337883084066,0.8524342869038687
Curriculum pretrained,170,-26.269582294258154,0.4964697126326385
Curriculum pretrained,171,-41.47609198974261,0.38317710927697135
Curriculum pretrained,172,-40.80348814773274,0.8149347217633237
Curriculum pretrained,173,-36.413252146418984,0.5747120491375745
Curriculum pretrained,174,-31.72208198693494,0.45715582012169276
Curriculum pretrained,175,-45.12895028399427,0.7499904131516294
Curriculum pretrained,176,-33.101331199854634,0.6345262869625076
Curriculum pretrained,177,-39.44564694957068,0.7875884929217287
Curriculum pretrained,178,-32.214657299242425,0.5262367363891467
Curriculum pretrained,179,-77.19838553894682,1.2180743427373695
Curriculum pretrained,180,-52.72821192584269,1.2288428822192592
Curriculum pretrained,181,-42.045233860584275,0.9127749614544611
Curriculum pretrained,182,-47.46339736874933,0.7472497435745125
Curriculum pretrained,183,-47.051232780712624,0.8394702702380085
Curriculum pretrained,184,-33.97399143548802,0.8093373126645218
Curriculum pretrained,185,-33.93077777686711,0.43120465754016984
Curriculum pretrained,186,-36.69668383674704,0.5051379717605384
Curriculum pretrained,187,-44.12877408785353,0.5937359407251934
Curriculum pretrained,188,-41.674604594040595,1.0098681071210727
Curriculum pretrained,189,-37.67640564442885,0.5709130775626522
Curriculum pretrained,190,-32.15775550814152,0.9617330431389984
Curriculum pretrained,191,-31.869700464669016,0.5229581120069141
Curriculum pretrained,192,-39.43836172263848,0.39302208604901484
Curriculum pretrained,193,-50.6978535440858,0.7223110884325655
Curriculum pretrained,194,-28.9974647350938,0.6059694996142849
Curriculum pretrained,195,-40.498643537820456,0.5603983016144967
Curriculum pretrained,196,-48.61116472476794,0.6808325880707075
Curriculum pretrained,197,-38.12077504332909,0.6112311441720613
Curriculum pretrained,198,-31.098576593846975,0.4597725160279894
Curriculum pretrained,199,-27.93533177859463,0.6309445573659044
Curriculum pretrained,200,-44.12752836030404,0.5022043411842825
Stationary pretrained,1,-32.27659157617711,0.8685086600515027
Stationary pretrained,2,-27.442821415000502,0.9897453199661955
Stationary pretrained,3,-32.54018340402758,0.8026555356356814
Stationary pretrained,4,-58.324799673300824,1.2248051965352822
Stationary pretrained,5,-37.61578651876235,1.190395140042018
Stationary pretrained,6,-45.33569448963289,1.1909833844926758
Stationary pretrained,7,-35.02873150840882,1.1188471551260029
Stationary pretrained,8,-32.34069823624106,1.0239669688649968
Stationary pretrained,9,-26.968815803207494,0.9391435466995712
Stationary pretrained,10,-29.846071314478067,0.8181669377809146
Stationary pretrained,11,-35.215965790407694,0.8810727911253025
Stationary pretrained,12,-54.775248458290946,1.164904948158364
Stationary pretrained,13,-51.85853188412669,1.3127853375782887
Stationary pretrained,14,-31.55502602981273,0.8950554616784423
Stationary pretrained,15,-47.22647892022332,1.1662358043029954
Stationary pretrained,16,-38.676370265691574,1.0104547769831824
Stationary pretrained,17,-29.036713898762425,0.9350155474260284
Stationary pretrained,18,-47.024352405501084,1.2863829414853134
Stationary pretrained,19,-72.90439934195756,1.4062366955087133
Stationary pretrained,20,-32.49100690112678,0.8990355175782015
Stationary pretrained,21,-28.873467064792482,0.8889853228192082
Stationary pretrained,22,-81.21467265887952,1.0959571076855688
Stationary pretrained,23,-32.99205408785478,0.7422215918902556
Stationary pretrained,24,-45.55474530563619,0.972640897669952
Stationary pretrained,25,-51.79907244597489,0.799186689606767
Stationary pretrained,26,-61.23905776349663,1.0309406597314128
Stationary pretrained,27,-39.389006804904454,0.919318962648774
Stationary pretrained,28,-25.999481953629534,0.684947877171755
Stationary pretrained,29,-37.617101712208196,0.6631307999246191
Stationary pretrained,30,-38.19902891835666,0.6939530533479715
Stationary pretrained,31,-43.52781011074296,0.7320718755357631
Stationary pretrained,32,-33.54229745423696,0.53798950565563
Stationary pretrained,33,-29.427795606206946,0.7908562759633196
Stationary pretrained,34,-37.72056336248037,0.6301053795699472
Stationary pretrained,35,-31.632354464592602,0.6835809075167232
Stationary pretrained,36,-48.27348685017797,0.8334140255636412
Stationary pretrained,37,-48.76343446399787,0.951831330091689
Stationary pretrained,38,-35.07847857652341,0.6311254971999017
Stationary pretrained,39,-34.07456102830206,0.7037517317558959
Stationary pretrained,40,-39.202959012430306,0.7565050050497032
Stationary pretrained,41,-40.58261266724446,1.0580906157686254
Stationary pretrained,42,-52.55095436976668,0.9596460190486461
Stationary pretrained,43,-46.15358119375851,1.0183730150468486
Stationary pretrained,44,-59.85426192117931,1.2982179625415722
Stationary pretrained,45,-32.57957887837029,0.7811157828129428
Stationary pretrained,46,-23.945600109081564,0.7162252347339055
Stationary pretrained,47,-45.520593363719996,0.6923486091758684
Stationary pretrained,48,-31.685522329699296,0.41642107422934704
Stationary pretrained,49,-52.91847038636322,0.7556823824581123
Stationary pretrained,50,-44.843272793098265,1.1173679002101342
Stationary pretrained,51,-26.866315512540694,1.0078353399593851
Stationary pretrained,52,-25.51198765358528,0.7334083131901684
Stationary pretrained,53,-30.12422228968932,0.7544627572618494
Stationary pretrained,54,-36.04552230070149,0.7044084505248477
Stationary pretrained,55,-36.59196390975828,0.6645442640781657
Stationary pretrained,56,-32.116720923692576,0.6998516143853869
Stationary pretrained,57,-26.061413468956474,0.7896244829965321
Stationary pretrained,58,-47.47711268401541,0.8794402647836577
Stationary pretrained,59,-63.3662970522657,1.3096137497059108
Stationary pretrained,60,-61.760017780953476,1.1676791827141229
Stationary pretrained,61,-54.883233379590514,0.9649482915626993
Stationary pretrained,62,-35.51137495693463,0.9329689983461517
Stationary pretrained,63,-23.829655931818543,0.568990001813999
Stationary pretrained,64,-41.51572723347941,0.5140251790638701
Stationary pretrained,65,-48.39703463462608,0.9098472086190085
Stationary pretrained,66,-53.44546529527648,1.071113777386189
Stationary pretrained,67,-44.14029517454152,0.9518984705862549
Stationary pretrained,68,-44.43273894100233,0.8651879948357123
Stationary pretrained,69,-45.45786868832289,0.8446751174114686
Stationary pretrained,70,-26.33194429365505,0.5804043329521378
Stationary pretrained,71,-40.44079754592835,0.859620181004783
Stationary pretrained,72,-48.83080103111061,0.9100924267351658
Stationary pretrained,73,-48.56687126531977,1.036947827822513
Stationary pretrained,74,-48.89497495870899,1.0389324941361033
Stationary pretrained,75,-65.22119367105878,1.0833603263386495
Stationary pretrained,76,-37.567229348005505,0.8036459419027282
Stationary pretrained,77,-33.15995836100677,0.7721317533999591
Stationary pretrained,78,-39.22732778599578,0.8835977335512695
Stationary pretrained,79,-41.658550892275585,0.730649722773901
Stationary pretrained,80,-32.86377935659979,0.4848407583900339
Stationary pretrained,81,-32.90902823640832,0.4965798225224151
Stationary pretrained,82,-45.68624535143852,0.5330567629925637
Stationary pretrained,83,-22.30097087246011,0.6770277783332785
Stationary pretrained,84,-30.932406578003935,0.30230556619967724
Stationary pretrained,85,-37.63076251102463,0.594526661312614
Stationary pretrained,86,-39.25922594097823,0.5284448602637513
Stationary pretrained,87,-31.833115071265276,0.5308891698337306
Stationary pretrained,88,-42.0228012750344,0.5922837886915198
Stationary pretrained,89,-58.17892978363572,0.9627404136870031
Stationary pretrained,90,-30.48881210826586,0.652467571726059
Stationary pretrained,91,-39.11427320380365,0.5235489688390339
Stationary pretrained,92,-78.77965686018828,1.1913386045668952
Stationary pretrained,93,-42.891547049103366,0.9795543491709483
Stationary pretrained,94,-43.9965954969443,0.7554486319247103
Stationary pretrained,95,-51.493650867814964,0.8311691670189005
Stationary pretrained,96,-34.1975083419486,0.9390461305590438
Stationary pretrained,97,-30.25109232277512,0.5772401416505833
Stationary pretrained,98,-39.502717511737984,0.681639793858789
Stationary pretrained,99,-32.04396580332312,0.4298282930636763
Stationary pretrained,100,-22.565861591553883,0.7689524225639066
Stationary pretrained,101,-37.032341997371056,0.6957381646163096
Stationary pretrained,102,-32.984017782205086,0.5984544124263803
Stationary pretrained,103,-28.641461030600446,0.4100682736641815
Stationary pretrained,104,-34.623280997035884,0.6792259425944119
Stationary pretrained,105,-30.018005338089523,0.6170642613247139
Stationary pretrained,106,-39.348850558952236,0.7169117567753001
Stationary pretrained,107,-39.61983578060214,0.657102267634689
Stationary pretrained,108,-33.81423334546967,0.49169077134002503
Stationary pretrained,109,-38.379076368588386,0.6745372151668921
Stationary pretrained,110,-33.515898872297534,0.4972116664504433
Stationary pretrained,111,-41.50216568587685,0.675215605963815
Stationary pretrained,112,-53.59557812195165,0.9130516922717872
Stationary pretrained,113,-30.024016226195037,0.6631963768926423
Stationary pretrained,114,-35.01015261025481,0.7308957277764215
Stationary pretrained,115,-25.114514095494364,0.5932989011239169
Stationary pretrained,116,-43.60629423488556,0.6952581433870788
Stationary pretrained,117,-36.514670369713734,0.6352830155840792
Stationary pretrained,118,-28.789181220997563,0.8151827543654355
Stationary pretrained,119,-38.48351190825974,0.6375017980628946
Stationary pretrained,120,-28.461826373567362,0.6629113430854899
Stationary pretrained,121,-34.22075760586331,0.6960209612779866
Stationary pretrained,122,-19.523948348870434,0.9176118680867709
Stationary pretrained,123,-35.57168771239986,0.5196096135911605
Stationary pretrained,124,-35.40650710293208,0.6444700351778987
Stationary pretrained,125,-37.13603563389567,0.55740798648938
Stationary pretrained,126,-27.95852624460212,0.7314348366741857
Stationary pretrained,127,-40.48437690847363,0.5655618464556252
Stationary pretrained,128,-33.28872531472113,0.6418459399503776
Stationary pretrained,129,-30.242490014584252,0.6288575322236678
Stationary pretrained,130,-35.09893526250626,0.5447874108409352
Stationary pretrained,131,-34.84345213152609,0.6523893648995729
Stationary pretrained,132,-39.509651419430824,1.080789545500237
Stationary pretrained,133,-33.32080627738538,0.6616171316789121
Stationary pretrained,134,-52.80350918091838,0.6709852142496396
Stationary pretrained,135,-40.3701371127902,0.767872791424208
Stationary pretrained,136,-33.46037727656086,0.7799709837116775
Stationary pretrained,137,-42.4175805940496,1.1196462859214968
Stationary pretrained,138,-46.463029057315694,1.0581812376958768
Stationary pretrained,139,-34.91212199293278,0.7175533613959303
Stationary pretrained,140,-43.89838511298231,0.9428857839859287
Stationary pretrained,141,-23.29331703287211,0.761112978096445
Stationary pretrained,142,-44.14960026741376,0.6993954015196211
Stationary pretrained,143,-29.619838691887526,0.432875055019104
Stationary pretrained,144,-41.742115144376356,0.7224129654040774
Stationary pretrained,145,-40.478909461646445,0.7201670125426142
Stationary pretrained,146,-30.806689740606878,0.898362497443707
Stationary pretrained,147,-32.606611169540685,0.6305175982032142
Stationary pretrained,148,-46.598387324743015,0.7333691153815628
Stationary pretrained,149,-24.491660760518695,1.0065393029040721
Stationary pretrained,150,-34.31640725314078,0.6916561029208096
Stationary pretrained,151,-31.35074284341716,0.7476760351352881
Stationary pretrained,152,-38.64027200489595,0.583194566802114
Stationary pretrained,153,-48.64139544826028,0.9391546102397815
Stationary pretrained,154,-34.96365863613647,0.700691038648145
Stationary pretrained,155,-33.93230163586645,0.5300007020351262
Stationary pretrained,156,-37.12673069602853,0.7707786854283846
Stationary pretrained,157,-33.51456477681704,0.5408478563793133
Stationary pretrained,158,-35.189981442974194,0.443787801704282
Stationary pretrained,159,-31.04375633277613,0.49156636548997557
Stationary pretrained,160,-25.820447937168307,0.6840817869634243
Stationary pretrained,161,-37.6805935217091,0.6432660761207207
Stationary pretrained,162,-31.140575680978056,0.45492860528612294
Stationary pretrained,163,-25.209060249142198,0.8119817844765206
Stationary pretrained,164,-36.77803137197244,0.602142136751767
Stationary pretrained,165,-40.06157309032784,0.9225462414066601
Stationary pretrained,166,-31.591953913185947,0.8929529575961765
Stationary pretrained,167,-37.85540829729378,0.713163158020169
Stationary pretrained,168,-38.92493269700656,0.7427583832608969
Stationary pretrained,169,-44.11383052182547,0.8969838762251942
Stationary pretrained,170,-52.45411570186597,0.8091171999237324
Stationary pretrained,171,-53.96063405765283,1.033224520234912
Stationary pretrained,172,-25.17207460781155,0.8266356398224078
Stationary pretrained,173,-34.8516248562288,0.5872584274191861
Stationary pretrained,174,-43.990417119177884,0.7125554243488352
Stationary pretrained,175,-39.28599190397968,0.8797016747280677
Stationary pretrained,176,-28.28269081586666,0.7571612779495975
Stationary pretrained,177,-42.24821300362096,0.8653552942567672
Stationary pretrained,178,-32.74000107683694,0.6743689037746068
Stationary pretrained,179,-30.759987878047287,0.5315660205641505
Stationary pretrained,180,-34.352815029868665,0.5253877601212147
Stationary pretrained,181,-41.00206103309358,0.8584888946182493
Stationary pretrained,182,-18.49430631458393,0.687746423851488
Stationary pretrained,183,-28.819310666065906,0.40845694009220573
Stationary pretrained,184,-29.382592277424557,0.3711721128628508
Stationary pretrained,185,-34.50603727753763,0.5462486138480447
Stationary pretrained,186,-31.840598342974232,0.6224195866890224
Stationary pretrained,187,-27.56103473922841,0.4285104955633641
Stationary pretrained,188,-46.22606953913114,0.6420217354847089
Stationary pretrained,189,-28.94989205715898,0.6187922969166145
Stationary pretrained,190,-29.79999161361672,0.5615087801465695
Stationary pretrained,191,-32.5298163111233,0.6891417415406635
Stationary pretrained,192,-36.711547302280685,0.6904454624258456
Stationary pretrained,193,-36.37018116709695,0.6923170004604301
Stationary pretrained,194,-40.0427684529306,0.7705636421738222
Stationary pretrained,195,-30.94758954714594,0.9922258642693464
Stationary pretrained,196,-47.22828662918772,0.7621992897361641
Stationary pretrained,197,-47.59954593242661,1.1227763282544865
Stationary pretrained,198,-51.32537424583599,1.0446249652025927
Stationary pretrained,199,-50.12175698015834,1.0739107285460865
Stationary pretrained,200,-46.79357272128287,1.0999785286749661
No pretraining,1,-89.40495825013637,1.7185261410390789
No pretraining,2,-68.51743449205907,1.7388591190687361
No pretraining,3,-45.643454490330456,1.6296668135892753
No pretraining,4,-85.12836554244782,1.5949408019218767
No pretraining,5,-96.1251590636515,1.580939780574812
No pretraining,6,-55.52834700432082,1.4289392438619593
No pretraining,7,-137.75330873738332,1.5565959049389728
No pretraining,8,-116.5773930386296,1.3783649324334108
No pretraining,9,-55.170071053584465,1.2674377666283814
No pretraining,10,-131.98473503293815,1.3556017859155967
No pretraining,11,-81.96857397885823,1.3303929015651241
No pretraining,12,-55.40217253894421,1.2433150231341263
No pretraining,13,-49.750603403642444,1.180671110479257
No pretraining,14,-64.18171925337737,1.0639465524699498
No pretraining,15,-37.279236948508895,0.7853352376512264
No pretraining,16,-46.50065556205469,0.8604936995993874
No pretraining,17,-51.36168679309737,1.0194556710302698
No pretraining,18,-45.07154176207599,0.7526144586925537
No pretraining,19,-56.52287740052556,0.9039977148143832
No pretraining,20,-52.426531473110984,1.1659964534013916
No pretraining,21,-48.55480845108798,0.9856784775823807
No pretraining,22,-40.10208757190294,0.74317192878397
No pretraining,23,-43.043889556182755,0.9840690383163341
No pretraining,24,-37.7854578324002,0.6914893938276643
No pretraining,25,-60.255575433193,1.0208031920703728
No pretraining,26,-35.031034178287655,0.666063755485252
No pretraining,27,-31.094151791374482,0.5327088554163576
No pretraining,28,-34.06966746939312,0.3511966200308681
No pretraining,29,-31.89825002494601,0.30306711294977345
No pretraining,30,-27.03195791915686,0.3337905518607152
No pretraining,31,-54.4232982627572,0.7131819183313008
No pretraining,32,-46.07545952496306,0.7208602315744571
No pretraining,33,-43.67759984375782,0.6964603205637628
No pretraining,34,-45.07503597852619,0.6844098513224133
No pretraining,35,-61.87734311248862,0.8135486268797382
No pretraining,36,-51.70266139105577,1.0004507073024433
No pretraining,37,-45.99044790310025,0.79152623940489
No pretraining,38,-37.842430276860284,0.7858262684948287
No pretraining,39,-46.55199095627485,0.8578128816576313
No pretraining,40,-44.496008753446475,0.7692919971085447
No pretraining,41,-31.9001135037612,0.5276909212309239
No pretraining,42,-37.35082934718888,0.5810134783373344
No pretraining,43,-53.20828235595269,0.6056483575378807
No pretraining,44,-33.669547118604704,0.4125003376804771
No pretraining,45,-50.966424768466226,0.5755150044942771
No pretraining,46,-42.48580858485097,0.6744695375161283
No pretraining,47,-36.76335409878958,0.6736059620277566
No pretraining,48,-47.07483595981478,0.6093343770713138
No pretraining,49,-30.73061457392526,0.466454380969648
No pretraining,50,-44.37671252656836,0.48441639786256036
No pretraining,51,-26.28197658500215,0.4268998621529274
No pretraining,52,-30.426428103078592,0.4123639716536688
No pretraining,53,-34.48873141166702,0.3245453327900367
No pretraining,54,-41.71778976598209,0.4369609466105779
No pretraining,55,-29.788456830881376,0.34875623037625614
No pretraining,56,-22.33195631003126,0.23232037755400275
No pretraining,57,-31.122352577494667,0.3420627061214163
No pretraining,58,-47.18293575379491,0.6363974988544425
No pretraining,59,-33.17990868459449,0.5520547724932955
No pretraining,60,-45.28535725617246,0.5272460805531058
No pretraining,61,-32.89459648546481,0.38779927681034226
No pretraining,62,-39.053313959983264,0.615602900135605
No pretraining,63,-35.67465162096916,0.5928843885776228
No pretraining,64,-30.047845010685958,0.47866535515535624
No pretraining,65,-50.24095519750091,0.6188094728681163
No pretraining,66,-28.96775805993687,0.57173637031046
No pretraining,67,-27.971799737976593,0.5078771662051819
No pretraining,68,-51.7641821164054,0.7518846317313997
No pretraining,69,-21.041000877211573,0.5200353311994822
No pretraining,70,-44.434947296767184,0.4797796843912948
No pretraining,71,-51.833098315273375,0.6504553066015242
No pretraining,72,-38.0510696039463,0.8173920702840013
No pretraining,73,-25.38852402089235,0.42529463396106465
No pretraining,74,-33.09530970908837,0.42060939285035753
No pretraining,75,-31.892992338514865,0.33531944207408465
No pretraining,76,-30.316112049160544,0.38632917993620347
No pretraining,77,-57.876849273166755,0.8361525670602892
No pretraining,78,-49.370009777158586,0.8831873979895886
No pretraining,79,-41.53826646381265,0.7357473098982307
No pretraining,80,-31.36099473462297,0.6479632602072225
No pretraining,81,-32.75446120032224,0.5609048260461236
No pretraining,82,-37.57661031007812,0.5848782382282872
No pretraining,83,-34.52719775652249,0.5139366737410387
No pretraining,84,-57.07075848251044,0.7747619833318915
